"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"ABIA","ABA NORTH","EZIAMA","005","ABIA POLY - ABIA POLY I","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","006","ABIA POLY  - ABIA POLY II","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","007","ABIA POLY  - ABIA POLY III","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","008","ABIA POLY  - ABIA POLY IV","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","009","ABIA POLY  - ABIA POLY V","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","010","ABIA POLY - ABIA POLY VI","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","011","EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL I","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","012","EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL II","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","013","EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL III","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","014","EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL IV","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","015","EZIAMA HIGH SCHOOL - EZIAMA HIGH SCHOOL V","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","016","EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL I","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","017","EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL II","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","018","EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL III","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","019","EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL IV","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","020","EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL V","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","021","EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL VI","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","022","EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL VII","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","023","EZIAMA CENTRAL SCHOOL - EZIAMA CENTRAL SCHOOL VIII","EXISTING PU"
"ABIA","ABA NORTH","EZIAMA","024","ABIA POLY VII","NEW PU"
"ABIA","ABA NORTH","EZIAMA","025","ABIA PLOY VIII","NEW PU"
"ABIA","ABA NORTH","EZIAMA","026","ABIA PLOY IX","NEW PU"
"ABIA","ABA NORTH","EZIAMA","027","ABIA POLY X","NEW PU"
"ABIA","ABA NORTH","EZIAMA","028","ABIA PLOY XI","NEW PU"
"ABIA","ABA NORTH","EZIAMA","029","ABIA POLY XII","NEW PU"
"ABIA","ABA NORTH","EZIAMA","030","ABIA PLOY XIII","NEW PU"
"ABIA","ABA NORTH","EZIAMA","031","ABIA PLOY XIV","NEW PU"
"ABIA","ABA NORTH","EZIAMA","032","ABIA POLY XV","NEW PU"
"ABIA","ABA NORTH","EZIAMA","033","ABIA PLOY XVI","NEW PU"
"ABIA","ABA NORTH","EZIAMA","034","ABIA PLOY","NEW PU"
"ABIA","ABA NORTH","EZIAMA","035","ABIA PLOY XVIII","NEW PU"
"ABIA","ABA NORTH","EZIAMA","036","ABIA POLY XIX","NEW PU"
"ABIA","ABA NORTH","EZIAMA","037","ABIA PLOY XX","NEW PU"
"ABIA","ABA NORTH","EZIAMA","038","ABIA PLOY XXI","NEW PU"
"ABIA","ABA NORTH","EZIAMA","039","ABIA PLOY XXII","NEW PU"
"ABIA","ABA NORTH","EZIAMA","040","ABIA POLY XXIII","NEW PU"
"ABIA","ABA NORTH","EZIAMA","041","ABIA PLOY XXIV","NEW PU"
"ABIA","ABA NORTH","EZIAMA","042","ABIA PLOY XXV","NEW PU"
"ABIA","ABA NORTH","EZIAMA","043","ABIA POLY VI","NEW PU"
"ABIA","ABA NORTH","EZIAMA","044","ABIA PLOY XXIV","NEW PU"
"ABIA","ABA NORTH","EZIAMA","045","EZIAMA HIGH SCHOOL II","NEW PU"
"ABIA","ABA NORTH","EZIAMA","046","EZIAMA HIGH SCHOOL II","NEW PU"
"ABIA","ABA NORTH","EZIAMA","047","EZIAMA HIGH SCH. III","NEW PU"
"ABIA","ABA NORTH","EZIAMA","048","EZIAMA HIGH SCH. XI","NEW PU"
"ABIA","ABA NORTH","EZIAMA","049","EZIAMA HIGH SCH. XII","NEW PU"
"ABIA","ABA NORTH","EZIAMA","050","EZIAMA HIGH SCH.","NEW PU"
"ABIA","ABA NORTH","EZIAMA","051","EZIAMA HIGH SCH. X","NEW PU"
"ABIA","ABA NORTH","EZIAMA","052","EZIAMA HIGH SCH. XI","NEW PU"
