"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"AKWA IBOM","ABAK","ABAK URBAN 1","001","VILLAGE SQUARE, IKOT AKWA EBOM","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","002","PRY SCH, IKOT OBONG EDIENE","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","003","PRY SCH, IKOT OKU UBARA","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","004","VILLAGE SQUARE, IKOT INYANG EDIENE","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","005","VILLAGE SQUARE, ATAI EDIENE","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","006","PRY SCH IBANANG EDIENE","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","007","VILLAGE HALL, IKOT UDOUSUNG","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","008","VILLAGE SQUARE, IKOT UDOUSUNG","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","009","VILLAGE HALL, NTO UTOM UKPOM","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","010","NCSS, IKOT IYIRE","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","011","VILLAGE SQUARE, IKOT AKAN ADIA","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","012","VILLAGE  HALL, IKOT AKPAN ADIA","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","013","VILLAGE  HALL, IKOT ONUK UKPOM","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","014","PRY SCH, MANTA","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","015","VILLAGE SQUARE, MANTA EDEM IDEM","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","016","MARKET SQUARE IKOT AKWA EBOM","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","017","OPEN SPACE UNIUYO(IME SAMPSON UMANA CAMPUS) EDIENE ABAK","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","018","VILLAGE HALL ATAI ESSIEN, IKOT OBONG EDIENE","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","019","VILLAGE HALL IKOT OKU UBARA","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","020","COMPREHENSIVE SECONDARY SCHOOL IKOT OKU UBARA","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","021","OPEN SPACE, IKOT INYANG JUNCTION, EDIENE","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","022","VILLAGE HALL, ATAI EDIENE","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","023","OPEN SPACE, OPPOSITE APOSTOLIC CHURCH, ATA EDIENE","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","024","VILLAGE HALL IBANANG","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","025","VILLAGE HALL IYIRE","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","026","PRY SCH, IKOT ONUK UKPOM","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1","027","VILLAGE HALL MANTA","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 11","001","PRY SCH, IBAGWA. I","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 11","002","PRY SCH, IBAGWA. II","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 11","003","VILLAGE HALL, OKON ABAK","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 11","004","VILLAGE HALL, IKOT AFAHA","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 11","005","VILLAGE HALL, MBARAKOM","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 11","006","PRY SCH, ITUNG","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 11","007","PRY SCH, ABAK USUNG ATAI","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 11","008","VILLAGE HALL IBAGWA","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 11","009","VILLAGE HALL ITUNG","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 11","010","VILLAGE SQUARE ABAK USUNG ATAI","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","001","VILLAGE SQUARE, IKOT ETUK UDO","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","002","VILLAGE SQUARE, PARK LANE","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","003","BISHOP CLARKS PRY SCH","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","004","PRY SCH, MIDIM WATERSIDE","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","005","GOVT TECHNICAL COLLEGE","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","006","PRY SCH, OKU ABAK","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","007","V/H, ABAK USUNG IDIM","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","008","PRY SCH, NO 1 ABAK","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","009","CONVENT PRY SCH","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","010","OPEN SPACE  UDOKPO","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","011","OPEN SPACE, EDITAHA EBOM JUCTION","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","012","T/HALL AKPASAK","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","013","INDEPENDENCE HALL, ABAK","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","014","OPEN SPACE MKT/SQ BY IKOT OKORO ROAD","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","015","OPEN SPACE OFFOT JUNCTION","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","016","T/HALL OFFOT  BY ABA ST","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","017","OPEN SPACE BY OKORO UDO MKPENG","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","018","OPEN SPACE UNWANA IMOH ST","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","019","PLAY GROUND MIDIM WATERSIDE","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","020","OPEN SPACE GOSPEL VILLAGE RD","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","021","V/HALL OKON UMOREN STREET","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","022","PRY SCH MIDIM WATER SIDE","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","023","PLAY GROUND GOVT TECHNICAL COLLAGE","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","024","V/HALL OKU ABAK","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","025","PRY SCH OKU ABAK","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","026","ABAK INTERNATIONAL SCH","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","027","V/HALL MKPOKPORO","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 111","028","CONVENT PRY SCH, ABAK","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","001","PRY SCH, ABAK ITENGE","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","002","VILLAGE SQUARE, OBIOBOM","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","003","PRY SCH, IKOT EKANG","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","004","VILLAGE SQUARE, IKOT OBONG UTU","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","005","MCSS, IKOT EBAK. I","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","006","MCSS, IKOT EBAK. II","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","007","VILLAGE SQUARE, UTU EDEM URUA.","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","008","VILLAGE SQUARE, UTU EDEM AKAI","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","009","VILLAGE SQUARE, ABAK IKOT","EXISTING PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","010","V/HALL ABAK ITENGE","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","011","OPEN SPACE IKOT OBONG UTU","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","012","V/SQ IKOT EBAK","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","013","MKT/SQ UTUEDEM URUA","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","014","OPEN SPACE UTU IKOT ABAT","NEW PU"
"AKWA IBOM","ABAK","ABAK URBAN 1V","015","OPEN SPACE ABAK IKOT EDEM USUNG","NEW PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","001","PRY SCH, AFAHA ESSANG","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","002","VILLAGE HALL, URUK OBONG","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","003","VILLAGE SQUARE, IKOT UDO UDOM","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","004","VILLAGE SQUARE, NNA ENIN","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","005","VILLAGE SQUARE, IKOT AKPAKPAN","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","006","VILLAGE SQUARE, IKOT AKPAN IKPONG","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","007","VILLAGE SQUARE, EBEBIT","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","008","PRY SCH, EBEBIT","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","009","PRIMARY SCHOOL, IKOT ODIONG","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","010","PRY SCH, ERIAM","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","011","VILLAGE SQUARE, ERIAM","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","012","VILLAGE SQUARE, EDEM ANWA","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","013","PRY SCH, EDEM ANWA","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","014","VILLAGE SQUARE, IKOT UDO OBIO IWOK","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 1","015","UNITY HALL AFAHA","NEW PU"
"AKWA IBOM","ABAK","AFAHA OBONG 11","001","PRY SCH, IKOT UBOM","EXISTING PU"
"AKWA IBOM","ABAK","AFAHA OBONG 11","002","VILLAGE HALL, IKOT INYANG","EXISTING PU"
