"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"BAUCHI","ALKALERI","ALKALERI","001","UNGUWAR AJIYA I - VILLAGE HEAD OFFICE I","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","002","UNGUWAR AJIYA I - VILLAGE HEAD OFFICE II","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","003","UNGUWAR AJIYA II - UPPER AREA COURT","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","004","UNGUWAR AJIYA III - UPPER AREA COURT","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","005","SARKIN SHANU I - VIEWING CENTRE I","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","006","SARKIN SHANU I - VIEWING CENTRE II","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","007","SARKIN SHANU II - CENTRAL PRIMARY SCHOOL","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","008","SARKIN SHANU III - CENTRAL PRIMARY SCHOOL I","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","009","SARKIN SHANU III - CENTRAL PRIMARY SCHOOL II","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","010","SARKIN TASHA - BAYAN BANKI I","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","011","SARKIN TASHA - BAYAN BANKI II","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","012","UNGUWAR BABA I - VIEWING CENTRE","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","013","UNGUWAR BABA II - VIEWING CENTRE","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","014","UNGUWAR BABA - BLIND WORKSHOP","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","015","UNGUWAR SARKIN KUDU - K./ S./ GUNCIGUYI","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","016","UNGUWAR MASURI S./ S./ MASURI","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","017","MAIMADIRI - MAIMADIRI PRIMARY SCHOOL","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","018","MAIMADIRI II - MAIMADIRI PRIMARY SCHOOL","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","019","GORONDO-K/S/GORONDO","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","020","TARANGADI - TARANGADI PRIMARY SCHOOL","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","021","KAFI - KAFI PRIMARY SCHOOL","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","022","GALANWO - K./ S./ GALANWO","EXISTING PU"
"BAUCHI","ALKALERI","ALKALERI","023","KOFAR ALIYU MUHAMMAD","NEW PU"
"BAUCHI","ALKALERI","ALKALERI","024","KOFAR MAIGARI USMAN","NEW PU"
"BAUCHI","ALKALERI","ALKALERI","025","K.S TIKE","NEW PU"
"BAUCHI","ALKALERI","ALKALERI","026","KOFAR ALKALI","NEW PU"
"BAUCHI","ALKALERI","ALKALERI","027","SALEH ABDULLAHI SABON GARI","NEW PU"
