"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"BAYELSA","BRASS","BRASS 1","001","TOWN COMMUNITY SCHOOL BUILDING","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","002","GBUNDU OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","003","ADA OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","004","AGIP SITE (INDUSTRIAL) OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","005","SHIDI COMPOUND OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","006","MARKET SQUARE OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","007","IGBODO 1 OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","008","AGIP SITE OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","009","ALAFIE OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","010","BOUTIBI OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","011","ANDREW POLO OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","012","INABUNA OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","013","INGO POLO OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","014","CAMEROUN OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","015","SAMBO I OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","016","GEORGE POLO OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","017","APOSTOLIC COMMUNITY HALL","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","018","EREFAMOKUMA OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","019","EGLA COMPOUND OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","020","JANE COMPOUND OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","021","SAMPSON COMPOUND OPEN SPACE","EXISTING PU"
"BAYELSA","BRASS","BRASS 1","022","ENINAH OPEN SPACE","EXISTING PU"
