"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"BORNO","ABADAM","AREGE","001","AREGE PRI. SCH.","EXISTING PU"
"BORNO","ABADAM","AREGE","002","DOGON CHUKU","EXISTING PU"
"BORNO","ABADAM","AREGE","003","METELE PRI. SCH. I","EXISTING PU"
"BORNO","ABADAM","AREGE","004","METELE PRI. SCH. II","EXISTING PU"
"BORNO","ABADAM","AREGE","005","KANNAMA","EXISTING PU"
"BORNO","ABADAM","AREGE","006","TUMBUN MARI I","EXISTING PU"
"BORNO","ABADAM","AREGE","007","TUMBUN MARI II","EXISTING PU"
"BORNO","ABADAM","AREGE","008","TUMBUN GINI I","EXISTING PU"
"BORNO","ABADAM","AREGE","009","TUMBUN GINI  II","EXISTING PU"
"BORNO","ABADAM","AREGE","010","AREGE CLINIC","NEW PU"
"BORNO","ABADAM","AREGE","011","AREGE MARKET","NEW PU"
"BORNO","ABADAM","AREGE","012","DOGON CHUKU BULAMARI II","NEW PU"
"BORNO","ABADAM","AREGE","013","METELE JUNIOR PRI. SCH. (JSS)","NEW PU"
"BORNO","ABADAM","AREGE","014","KOFAN LAWAN UMARA","NEW PU"
"BORNO","ABADAM","AREGE","015","BULAMA BULTU","NEW PU"
"BORNO","ABADAM","AREGE","016","TUMBUN GINI BULAMARI II","NEW PU"
"BORNO","ABADAM","BANOWA","001","BANOWA PRI. SCH.","EXISTING PU"
"BORNO","ABADAM","BANOWA","002","GARERE PRI. SCHOOL I","EXISTING PU"
"BORNO","ABADAM","BANOWA","003","LIMBARI","EXISTING PU"
"BORNO","ABADAM","BANOWA","004","GARERE PRI. SCH. II","NEW PU"
"BORNO","ABADAM","FUGUWA","001","ALLA","EXISTING PU"
"BORNO","ABADAM","FUGUWA","002","BULANGILA","EXISTING PU"
"BORNO","ABADAM","FUGUWA","003","FOGUWA","EXISTING PU"
"BORNO","ABADAM","FUGUWA","004","GAWASA I","EXISTING PU"
"BORNO","ABADAM","FUGUWA","005","LARISKI","EXISTING PU"
"BORNO","ABADAM","FUGUWA","006","MINARE","EXISTING PU"
"BORNO","ABADAM","FUGUWA","007","MUSUGUN","EXISTING PU"
