"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"CROSS RIVER","ABI","ADADAMA","001","ADADAMA PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","ADADAMA","002","IVONE PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","ADADAMA","003","EKPON MARKET SQUARE","EXISTING PU"
"CROSS RIVER","ABI","ADADAMA","004","IMINA PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","ADADAMA","005","IBALEBO PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","ADADAMA","006","ISONG INYANG PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","ADADAMA","007","EMINKWE PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","ADADAMA","008","EKPON TOWN HALL","EXISTING PU"
"CROSS RIVER","ABI","ADADAMA","009","ATANI PRIMARY SCHOOL BESIDE HEALTH CENTRE","NEW PU"
"CROSS RIVER","ABI","ADADAMA","010","IBALEBO HEALTH POST","NEW PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","001","AFAFANYI PRIMARY SCHOOL","EXISTING PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","002","AKPOZA PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","003","EZOMEZOM PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","004","BAZOHURE PLAYGROUND","EXISTING PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","005","ABE UYO PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","006","ABE OKUM PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","007","ABE ENYI USO PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","008","HEALTH CENTRE,  IGONIGONI","EXISTING PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","009","PCN II PRIMARY SCHOOL","NEW PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","010","OPEOKORI PLAYGROUND","NEW PU"
"CROSS RIVER","ABI","AFAFANYI/IGONIGONI","011","ABE AWARA EHOT TOWN HALL","NEW PU"
"CROSS RIVER","ABI","EBOM","001","FUNAVAI PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","EBOM","002","BAWETITI PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","EBOM","003","ABEGOR TOWN HALL","EXISTING PU"
"CROSS RIVER","ABI","EBOM","004","ANOIKPTE PLAYGROUND","EXISTING PU"
"CROSS RIVER","ABI","EBOM","005","REHUMOMET PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","EBOM","006","HEALTH CENTRE","EXISTING PU"
"CROSS RIVER","ABI","EBOM","007","BANOBON TOWN HALL","EXISTING PU"
"CROSS RIVER","ABI","EBOM","008","ABE AWARI","EXISTING PU"
"CROSS RIVER","ABI","EBOM","009","EGBEZUM PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","EBOM","010","BAROMI TOWN HALL","EXISTING PU"
"CROSS RIVER","ABI","EBOM","011","EBOM PRIMARY SCHOOL","EXISTING PU"
"CROSS RIVER","ABI","EBOM","012","ABE AWARI OPEN SPACE","NEW PU"
"CROSS RIVER","ABI","EDIBA","001","NEAR MRS. BASSEY OUT'S COMP","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","002","NEAR UBI UKA'S COMPOUND","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","003","ENOBOM PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","004","ENUGWEHUMA PLAYGROUND","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","005","NEAR ELDER UKPABI'S COMPOUND","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","006","USA PLAY GROUND ENUSOKWE","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","007","ENUGWEHUMA PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","008","OBOT UYO TOWN HALL","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","009","NEAR CHIEF UYO'S COMPOUND","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","010","ENINOM PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","011","ENINOM TOWN HALL","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","012","NEAR UPO'S COMPOUND, WATERSIDE","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","013","EZONO PLAY GROUND","EXISTING PU"
"CROSS RIVER","ABI","EDIBA","014","AKPAN TOWN HALL","EXISTING PU"
