"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"DELTA","ANIOCHA NORTH","OBIOR","001","KANIDILIMA P/S - ISHIEKPE QUARTERS","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBIOR","002","KANIDILIMA P/S - OGBE AKWU","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBIOR","003","KANIDILIMA P/S - OGBE ISSE","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBIOR","004","UKPALI P/S - OGBE UTU QUARTERS I","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBIOR","005","UKPALI P/S - OGBE UTU QUARTERS II","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBIOR","006","UKPALI P/S - IDUMU OZEI I","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBIOR","007","UKPALI P/S - IDUMU OZEI II","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBIOR","008","OFUOKWU P/S - OGBE AGIDI I","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBIOR","009","OFUOKWU P/S - OGBE AGIDI II","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBIOR","010","OPEN SPACE UNDER MANGO TREE  BYIYASE PALACE","NEW PU"
"DELTA","ANIOCHA NORTH","OBIOR","011","PRY HEALTH CARE ISHIEKPE QTRS","NEW PU"
"DELTA","ANIOCHA NORTH","OBIOR","012","COMPREHENSIVE SEC SCH OGBE ISSE","NEW PU"
"DELTA","ANIOCHA NORTH","OBIOR","013","UKPALI PRY SCH OGBE UTU QTRS III","NEW PU"
"DELTA","ANIOCHA NORTH","OBIOR","014","UKPALI PRY SCH IDUMU OZEI III","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","001","GBONOZA P/S - ISHIEKPE QUARTERS I","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","002","GBONOZA P/S - ISHIEKPE QUARTERS II","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","003","GBONOZA P/S - ISHIEKPE QUARTERS III","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","004","ANIEMEKA P/S - OGBE KENU QUARTERS I","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","005","ANIEMEKA P/S - OGBE KENU QUARTERS II","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","006","ISIOJI P/S - OGBE KENU I","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","007","ISIOJI P/S - OGBE KENU II","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","008","IFEYINWA P/S - OGBE OBI QUARTERS I","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","009","IFEYINWA P/S - OGBE OBI QUARTERS II","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","010","POST OFFICE ISHIEKPE I","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","011","POST OFFICE ISHIEKPE II","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","012","POST OFFICE ISHIEKPE III","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","013","MIXED SEC SCH UMUOLO QTRS I","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","014","MIXED SEC SCH UMUOLO QTRS II","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","015","ISIOJI PRY SCH OGBE KENU QTRS I","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","016","ISIOJI PRY SCH OGBE KENU QTRS II","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","017","PRY HEALTH CENTRE IDUMUEZE ONICHA I","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA UGBO","018","PRY HEALTH CENTRE IDUMUEZE ONICHA II","NEW PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","001","OFUNNE P/S - UKPATU QUARTERS","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","002","OFUNNE P/S - OGBE OBI/OGBE EZI I","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","003","OFUNNE P/S - OGBE OBI/OGBE EZI II","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","004","POST OFFICE - OGBE ONEI","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","005","ANAGBA P/S - OGBE ONEI","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","006","DIEI P/S - USEBE/OGBEZE QUARTERS","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","007","DIEI P/S - UMUWADIA QUARTERS","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","008","DIEI P/S - OGBE ORJI  QUARTERS","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","009","OJEOKPA P/S - UGBOBA I","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","010","OJEOKPA P/S - UGBOBA II","EXISTING PU"
"DELTA","ANIOCHA NORTH","OBOMKPA","011","OBOMKPA MIXED SEC SCH UKPATU","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","001","IYIOGBE P/S - ISHIEKPE QUARTERS","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","002","IYIOGBE P/S - UMUOLO QUARTERS I","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","003","IYIOGBE P/S - UMUOLO QUARTERS II","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","004","IYIOGBE P/S - OGBE - OBI QUARTERS","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","005","UGBA  P/S - IDUMUJE  QUARTERS","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","006","UGBA  P/S - OGBE KENU  QUARTERS I","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","007","UGBA  P/S - OGBE KENU  QUARTERS II","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","008","UGBA  P/S - AGBA  QUARTERS","EXISTING PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","009","TOWN HALL ISHIEKPE QTRS ONICHA OLONA","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","010","TOWN HALL UMUOLO QTRS ONICHA OLONA","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","011","TOWN HALL UMUOLO QTRS ONICHA OLONA","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","012","UMUOLO QTRS NEAR ANGLICAN CHURCH 1","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","013","OGBE OBI QTRS OPPOSITE ANGLICAN CHURCH 1","NEW PU"
"DELTA","ANIOCHA NORTH","ONICHA - OLONA","014","OGBE -OBI QTRS OPPOSITE ANGLICAN CHURCH 11","NEW PU"
