"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"EBONYI","ABAKALIKI","ABAKPA","001","ADAZI-ENU HALL  I","EXISTING PU"
"EBONYI","ABAKALIKI","ABAKPA","002","ADAZI-ENU HALL  II","EXISTING PU"
"EBONYI","ABAKALIKI","ABAKPA","003","CO-OPERATIVE SQUARE I","EXISTING PU"
"EBONYI","ABAKALIKI","ABAKPA","004","CO-OPERATIVE SQUARE II","EXISTING PU"
"EBONYI","ABAKALIKI","ABAKPA","005","NIBO/NSUKKA STR JUNCTION I","EXISTING PU"
"EBONYI","ABAKALIKI","ABAKPA","006","NIBO/NSUKKA STR JUNCTION II","EXISTING PU"
"EBONYI","ABAKALIKI","ABAKPA","007","VANCO HOTEL SPACE I","EXISTING PU"
"EBONYI","ABAKALIKI","ABAKPA","008","VANCO HOTEL SPACE II","EXISTING PU"
"EBONYI","ABAKALIKI","ABAKPA","009","ONUEBONYI PRIMARY SCHOOL","EXISTING PU"
"EBONYI","ABAKALIKI","ABAKPA","010","GIRLS HIGH SCHOOL AZUIYIOKWU","EXISTING PU"
"EBONYI","ABAKALIKI","ABAKPA","011","ADAZI - ENU HALL III","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","012","LOT 1A INTERNATIONAL MKT","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","013","LOT 1B INTERNATIONAL MKT","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","014","NEW EBOTRANS, PARK A","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","015","NEW EBOTRANS, PARK B","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","016","LOT 2 INTERNATIONAL MKT","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","017","OCHUDO PARK","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","018","INYIMAGU PRIMARY,AZUIYIOKWU","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","019","POLICE CHILDREN SCH,INYIMAGU","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","020","ONUEBONYI PRIMARY SCH.II","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","021","MOTHER AND CHILD HEALTH CENTRE I","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","022","MOTHER AND CHILD HEALTH CENTRE II","NEW PU"
"EBONYI","ABAKALIKI","ABAKPA","023","GIRLS HIGH SECONDARY, AZUIYIOKWU II","NEW PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","001","OGUCHIE PLAY GROUND","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","002","AGALEGU PRIMARY SCHOOL","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","003","UBURU PRIMARY SCHOOL","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","004","NDIUDARA/ NDIOFUTU VILL. SQUARE","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","005","IZILOKWO MKT SQUARE","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","006","NDIUGBALA VILL. SQUARE","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","007","NDINGWUTA PRI. SCHOOL","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","008","NDIOCHIOBUOKU PRI. SCHOOL","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","009","EGWUDINEGU PRI. SCHOOL","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","010","NDIEBO OSHIEKU PLAY GROUND","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","011","OGUCHIE PRIMARY SCH.","NEW PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","012","AGALEGU P/G","NEW PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","013","UBURU/ ODAGERE P/G","NEW PU"
"EBONYI","ABAKALIKI","AMACHI (NDEBO)","014","EGWUDINEGU HALL","NEW PU"
"EBONYI","ABAKALIKI","AMACHI (NDEGU)","001","IJAGA PLAY GROUND","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEGU)","002","OHABELE PLAY GROUND","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEGU)","003","OKARIA MKT SQUARE","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEGU)","004","ONYIKWA VILL. SQUARE","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEGU)","005","OBEAGU IBOM VILLAGE SQUARE","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEGU)","006","AKPE PRIMARY SCHOOL","EXISTING PU"
"EBONYI","ABAKALIKI","AMACHI (NDEGU)","007","OFIAOKU PLAY GROUND","EXISTING PU"
