"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"EDO","AKOKO EDO","IGARRA I","001","UGBOGBO, OZEDI","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","002","UGBOGBO, BY CO-OPERATIVE STORE","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","003","UGBOGBO, KAJOLA ROAD","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","004","UGBOGBO NR.,  OMOKHIDE'S HOUSE","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","005","UGBOGBO, SECRETARIAT ROAD","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","006","UGBOGBO, OPPOSITE L.G. COUNCIL","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","007","UGBOGBO, OFUNAMI MKT. SQUARE","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","008","UGBOGBO, OPPOSITE OGOGORO JUNCTION.","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","009","UGBOGBO, BY LAWANI'S HOUSE","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","010","UGBOGBO OPPOSITE OGOGORO JN","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","011","UGBOGBO, NEAR ASHIPA'S COMP.","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","012","UGBOGBO, NEAR LAREMOH'S COMP.","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","013","UGBOGBO, NR. JIMOH OCHIS HOUSE","EXISTING PU"
"EDO","AKOKO EDO","IGARRA I","014","UGBOGBO NEAR OMOKHIDES HOUSE II","NEW PU"
"EDO","AKOKO EDO","IGARRA I","015","COMPREHENSIVE HIGH SCH IGARRA","NEW PU"
"EDO","AKOKO EDO","IGARRA I","016","LOCAL GOVT EDU AUTHORITY, IGARRA","NEW PU"
"EDO","AKOKO EDO","IGARRA I","017","IRETUTU PRY SCHOOL, IGARRA","NEW PU"
"EDO","AKOKO EDO","IGARRA II","001","UTUA 1, UTUA P/S","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","002","UTUA I,  BY AJAYI'S COMP.","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","003","UTUA I, OPPOSITE CUSTOMARY COURT","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","004","UTUA NR. GADIMOH'S HOUSE","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","005","UTUA I, GODSTIME NURSERY SCHOOL","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","006","UFA II, IRETOJI PRIMARY SCHOOL","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","007","UFA II, NR EDEKI'S HOUSE","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","008","UFA II, BY OVOKO'S HOUSE","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","009","UFA II, BY OMOLOJU'S COMP.","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","010","UFA II, UFA HALL","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","011","UFA II, NR. ADAMAGBO'S HOUSE","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","012","UFA II, NR. ADAMS HS","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","013","UFA II, AKUKU P/S I","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","014","UFA II, AKUKU P/S II","EXISTING PU"
"EDO","AKOKO EDO","IGARRA II","015","ITUA PRY SCHOOL II","NEW PU"
"EDO","AKOKO EDO","IGARRA II","016","UTUA I, OPPOSITE AJAYI'S COMP","NEW PU"
"EDO","AKOKO EDO","IGARRA II","017","UTUA I, OPPOSITE CUSTOMARY COURT II","NEW PU"
"EDO","AKOKO EDO","IGARRA II","018","UTUA I, OPEN SPACE NR GADIMOH'S HOUSE II","NEW PU"
"EDO","AKOKO EDO","IGARRA II","019","UTUA I, OPP GODSTIME NURSERY SCHOOL","NEW PU"
"EDO","AKOKO EDO","IGARRA II","020","UFA II, IRETOJI PRY SCHOOL II","NEW PU"
"EDO","AKOKO EDO","IGARRA II","021","UFA II, ANGLICAN GRAMMAR IGARRA","NEW PU"
"EDO","AKOKO EDO","IGARRA II","022","UFA II, FRONT OF J.T SAIKI'S HOUSE","NEW PU"
"EDO","AKOKO EDO","IGARRA II","023","OPEN SPACE OPPOSITE AFEKHAI'S HOUSE, UFA II.","NEW PU"
"EDO","AKOKO EDO","IGARRA II","024","UFA II, OPEN SPACE OPPOSITE ADAMS HOUSE","NEW PU"
"EDO","AKOKO EDO","IGARRA II","025","OPEN SPACE BY ALAFIA JUNCTION, UFA II","NEW PU"
"EDO","AKOKO EDO","IGARRA II","026","OPEN SPACE OPPOSITE  ADAM'S HOUSE, UFA II.","NEW PU"
"EDO","AKOKO EDO","IGARRA II","027","UFA II, AKUKU PRY HEALTH CENTER, OPEN SPACE","NEW PU"
"EDO","AKOKO EDO","IGARRA II","028","OPEN  SPACE BY  AKUKU ST PETERS ANG CHURCH.","NEW PU"
"EDO","AKOKO EDO","IMOGA/ LAMPESE/ BEKUMA/ EKPE","001","LAMPESE, LAMPESE MKT. SQ.","EXISTING PU"
