"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","001","IN FRONT OF UDE'S HOUSE / OGBON IGBARA , IDOFIN ST.","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","002","A. U. D. PRY. SCH. / IRO ST. , ODE ONA","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","003","A. U. D. PRY. SCH. / ODO IMOBUN","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","004","IN FRONT OF ADELUYI'S HOUSE / ARAROMI , ADELUYI'S , THADEUS COMPOUND","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","005","IN FRONT OF FATHER BLESSING 'S HOUSE / AGRIC. ELEJOKA'S COMP.","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","006","ORI EKITI MARKET / ASA EJEMUA COMP.","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","007","ST. PATRICK PRY. SCH. MATTHEW ST. / ILARO, MATHEW","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","008","IN FRONT OF ODOFIN'S HOUSE / ODOFIN COMP.","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","009","IN FRONT OF EGBEDI'S HOUSE / EGBEDI'S COMP.","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","010","IN FRONT OF FAEJI'S HOUSE / FAEJI'S COMP.","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","011","IN FRONT OF PA JEGEDE'S HOUSE / CHIEF EMILA'S COMP.","EXISTING PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","012","OPEN SPACE BESIDE MR BELLO HOUSE,TRANSFORMER AGRIC ROAD","NEW PU"
"EKITI","ADO EKITI","ADO 'A'  IDOFIN","013","OPEN SPACE AT APOTI OJO AREA ,POLY BUS- STOP MATHEW","NEW PU"
