"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"ENUGU","ANINRI","ODUMA I","001","COMM. SCH. ODUMA ACHARA","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","002","AMAEZE ENUGU AGU VILLAGE SQUARE","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","003","OLOVOLO VILLAGE SQUARE","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","004","MMAFU COMM. SCHOOL","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","005","OBODO UKWU VILLAGE SQUARE","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","006","COMMUNITY SCHOOL UKETE","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","007","AMANKANU VILLAGE SQUARE","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","008","COMM. PRIMARY SCHOOL AMORJI ANI","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","009","AMORJI ENU VILLAGE SQUARE","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","010","COMM. SCH. ODUMA ACHALA","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","011","OLOVOLO  VILLAGE SQUARE","EXISTING PU"
"ENUGU","ANINRI","ODUMA I","012","NKWO MMAFU MARKET SQUARE","NEW PU"
"ENUGU","ANINRI","ODUMA I","013","NEW UKETE MARKET ODUMA","NEW PU"
"ENUGU","ANINRI","ODUMA II","001","COMM. SCHOOL OBEAGU ODUMA","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","002","LIBERTY SCHOOL, OBEAGU ODUMA","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","003","UHUANWUNTA VILLAGE SQUARE","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","004","OBODO OKPOKO  VILLAGE SQUARE","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","005","OBODO OGBUNTA   VILLAGE SQUARE,","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","006","OBODO  AKPAM  SQUARE, UHUAGU","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","007","AMOKWE COMM. SCHO. UHUEGBOKE","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","008","COMM. SCHOOL UHUAGU AMOKWE","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","009","COMM. SCH. UHUAGU","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","010","EKE AMEKE SQUARE","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","011","CENTRAL SCHOOL ODUMA I","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","012","NWAFOR UDENE VILL. SQUARE","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","013","CENTRAL SCH. ODUMA II","EXISTING PU"
"ENUGU","ANINRI","ODUMA II","014","ORIE AMOKWE MARKET SQUARE","NEW PU"
"ENUGU","ANINRI","ODUMA II","015","UHUAGU AMOKWE TOWN HALL","NEW PU"
"ENUGU","ANINRI","ODUMA II","016","ORIE AMAEKE MARKET","NEW PU"
