"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI CENTRAL","001","UNG. MAIKANO/KOFAR MAI UNGUWAN","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI CENTRAL","002","UNG. MANKO/KOFAR UNGUWAN MANKO","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI CENTRAL","003","UNG. LIMAN/KOFAR UNGUWAN LIMAN","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI CENTRAL","004","UNG. MAIKANO/KOFAR MAI UNGWA","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI CENTRAL","005","UNG. MAIKANO/KOFAR MAI UNGWA","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI CENTRAL","006","UNG. MAIKANO/KOFAR MAI UNGWA","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI CENTRAL","007","UNG. MANKO/KOFAR UNG. MANKO","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI CENTRAL","008","UNG. MANKO/KOFAR UNG. MANKO","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI CENTRAL","009","UNG.LIMAN/KOFAR UNG. LIMAN","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","001","ISAH M. GANI/OLD ONA PALACE","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","002","UNG. NUPAWA/MATERNITY CENTRE","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","003","UNG. ANYURA / GIDAN ANYURA","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","004","UNG. HUSSAINI WANZAMI","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","005","UNG. MALLAM MANSUR","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","006","ABAJI NE / CENTRAL PRY. SCHOOL","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","007","ISAH M.GANI/OLD ONA'S PALACE","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","008","UNG. NUPAWA MATERNITY CENTRE","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","009","UNG. NUPAWA MATERNITY CENTRE","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","010","UNG. ANYURA/GIDAN ANYURA","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","011","UNG. ANYURA/GIDAN ANYURA","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","012","UNG. ANYURA/GIDAN ANYURA","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","013","SABO TASHA NEW DEVELOPMENT AREA","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","014","ROAD SAFET QTRS","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","015","UNG.HUSSAINI WANZAMI","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","016","UNG.HUSSAINI WANZAMI","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","017","UNG.MALLAM MANSUR","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","018","ABAJI NORTH EAST PRY SCHOOL","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","019","ABAJI NORTH EAST PRY SCHOOL","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI NORTH EAST","020","ABAJI NORTH EAST PRY SCHOOL","NEW PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI SOUTH EAST","001","OLD ONAS PALACE  /  OLD ONAS PALACE","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI SOUTH EAST","002","UNG NDAMAZARI  /  GIDAN NDAMAZARI/OPEN SPACE INFRONT OF GIDAN SAMARI","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI SOUTH EAST","003","A.U SULEMAN  /  UNG.A.U. SULEMAN","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI SOUTH EAST","004","UNG. S.SAMARI/UNG. S. SAMARI","EXISTING PU"
"FEDERAL CAPITAL TERRITORY","ABAJI","ABAJI SOUTH EAST","005","OLD ONAS PALACE","NEW PU"
