"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"GOMBE","AKKO","AKKO","001","LAFIYAWO,  KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","AKKO","002","MARORI / WUI-WUI, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","AKKO","003","AKKO, AKKO PRI. SCH.","EXISTING PU"
"GOMBE","AKKO","AKKO","004","S/YAKI/J. HAMMA, AKKO PRI. SCH.","EXISTING PU"
"GOMBE","AKKO","AKKO","005","GAMADADI T/WADA, KOFAR  JAURO","EXISTING PU"
"GOMBE","AKKO","AKKO","006","LAWANTI, K. J. LAWANTI","EXISTING PU"
"GOMBE","AKKO","AKKO","007","JALINGO, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","AKKO","008","KOMBANI, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","AKKO","009","DUNAMARI -  BOGGAGEL, LAWANTI PRI. SCH.","EXISTING PU"
"GOMBE","AKKO","AKKO","010","JALINGO / AKKO, K. S. LAWANTI","EXISTING PU"
"GOMBE","AKKO","AKKO","011","DOLLI JILIM - DOLLI KUTURE,  DOLLI PRI. SCH.","EXISTING PU"
"GOMBE","AKKO","AKKO","012","DON DORIYA - DOLLI NGALDA, DOLLI PRI. SCH.","EXISTING PU"
"GOMBE","AKKO","AKKO","013","KATAM - GURU - MODOWA, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","AKKO","014","WURO DOLE - MUNDA, WURO DOLE PRI. SCH.","EXISTING PU"
"GOMBE","AKKO","AKKO","015","LAWO DODDO - FESHARE, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","AKKO","016","BULA KYARI, KOFAR S. BULA","EXISTING PU"
"GOMBE","AKKO","AKKO","017","LAMIDO BANGAJE, BULA PRI. SCH.","EXISTING PU"
"GOMBE","AKKO","AKKO","018","JAN GERAWO - G.J. SHEHU, K. J. SHEHU","EXISTING PU"
"GOMBE","AKKO","AKKO","019","GUDDE SAKI, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","AKKO","020","YOLDE JANI / KUYUNTU, JAMJI  KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","AKKO","021","JAMJI, J. JAMJI","EXISTING PU"
"GOMBE","AKKO","AKKO","022","BULA - BULA, KOFAR J.","EXISTING PU"
"GOMBE","AKKO","AKKO","023","TUDU WADA - K/JAURO UBAN-DOMA","EXISTING PU"
"GOMBE","AKKO","AKKO","024","ZONGO MARI, K. S. ZONGO MARI","EXISTING PU"
"GOMBE","AKKO","AKKO","025","DAGARAWO - MARKE,  DAGARAWO PRI. SCH.","EXISTING PU"
"GOMBE","AKKO","AKKO","026","JAURO HAMMA, K.J. JUNGUDO","EXISTING PU"
"GOMBE","AKKO","AKKO","027","MALAM  BURARI, K.J. BURARI","EXISTING PU"
"GOMBE","AKKO","AKKO","028","WURO BOGGA, AKKO MATERNITY","EXISTING PU"
"GOMBE","AKKO","AKKO","029","ZONGOMARI, SIDE OF ZONGOMARI PRI. SCH.","EXISTING PU"
"GOMBE","AKKO","AKKO","030","ZUKKUTU, K.J. ZUKKUTU","EXISTING PU"
"GOMBE","AKKO","AKKO","031","JALINGO, DISPENSARY","EXISTING PU"
"GOMBE","AKKO","AKKO","032","LAWANTI II K.J LAWANTI","NEW PU"
"GOMBE","AKKO","GARKO","001","YANKARI,  KOFAR S. YAKI","EXISTING PU"
"GOMBE","AKKO","GARKO","002","DOMDOMTI / YANKARI, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","GARKO","003","YANKARI AREWA /Y. YAMMA, K. J. DAJJI","EXISTING PU"
"GOMBE","AKKO","GARKO","004","KOMBANI BABA, K. J. BULA","EXISTING PU"
"GOMBE","AKKO","GARKO","005","KOMBANI ISA / NGAJI, K. J.  KOMBANI","EXISTING PU"
"GOMBE","AKKO","GARKO","006","PADAYA ARDO /PADAYA G., KOFAR JAURO PADAYA","EXISTING PU"
"GOMBE","AKKO","GARKO","007","TABRA I, KOFAR S. YAKI","EXISTING PU"
"GOMBE","AKKO","GARKO","008","TABRA II, KOFAR S. YAKI","EXISTING PU"
"GOMBE","AKKO","GARKO","009","TABRA GOBONA, KOFAR S. GOBONA","EXISTING PU"
"GOMBE","AKKO","GARKO","010","KALAJANGA, KOFAR J. KALAJANGA","EXISTING PU"
"GOMBE","AKKO","GARKO","011","MALAM IZZU, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","GARKO","012","ARDO BOYI, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","GARKO","013","GALDI MARI, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","GARKO","014","WURO BOKKI, KOFAR JAURO I","EXISTING PU"
"GOMBE","AKKO","GARKO","015","WURO BOKKI, KOFAR JAURO II","EXISTING PU"
"GOMBE","AKKO","GARKO","016","B.C.G.A. /  BOGO  I, KOFAR JAURO","EXISTING PU"
"GOMBE","AKKO","GARKO","017","B.C.G.A. /  BOGO  II, KOFAR BASHAR","EXISTING PU"
"GOMBE","AKKO","GARKO","018","B.C.G.A. /  BOGO III, KOFAR BASHAR","EXISTING PU"
"GOMBE","AKKO","GARKO","019","B.C.G.A. /  BOGO IV, KOFAR BASHAR","EXISTING PU"
"GOMBE","AKKO","GARKO","020","B.C.G.A. BOGO  V, K. MAI UNG. UMMAR","EXISTING PU"
"GOMBE","AKKO","GARKO","021","B.C.G.A. BOGO  VI, K. MAI UNG. UMMAR","EXISTING PU"
