"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"IMO","ABOH MBAISE","ENYIOGUGU","001","ALADINMA UMUELEM HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","002","OKWUAKU HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","003","UMUNKWO VILLAGE HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","004","IBEKU HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","005","COMMUNITY SCHOOL EZIALA","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","006","EZIALA HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","007","COMMUNITY SCHOOL UMUGARAGU","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","008","UMUAFOR VILLAGE HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","009","UMUEZIUKWU VILLAGE HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","010","ORIE UMUEZE HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","011","COMMUNITY SCHOOL OBOAMA","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","012","AMA-IYALA HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","013","VILLAGE SQUARE (OPP. BLOCK ROSARY HALL)","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","014","ANOKAM HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","015","COMMUNITY SCHOOL EGBELU","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","016","UMUOYE HALL","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","017","CENTRAL SCHOOL  EGBELU UMUHU","EXISTING PU"
"IMO","ABOH MBAISE","ENYIOGUGU","018","UMUDULU OGWUGWU HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","019","COMM. SCH. UMUELEM","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","020","ULAKWO COMP. SCH.","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","021","UMUNDU HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","022","ALADIMMA EZIALA HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","023","UMUOHU HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","024","ORIE AGU HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","025","AKWAETE HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","026","AMAOKWE UMUOKAR-ONYE HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","027","AMAUGBA-HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","028","ENYIOGU-GU SEC. SCHOOL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","029","EKEAGWU HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","030","ABIRI NA OWASI HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","031","ODENAOCHAM HALL","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","032","UMUOSI SQUARE-UMUOYE","NEW PU"
"IMO","ABOH MBAISE","ENYIOGUGU","033","EGBELU UMUHU-HALL","NEW PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","001","COMMUNITY SCHOOL UMUEZII I","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","002","COMMUNITY SCHOOL UMUEZII II","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","003","COMMUNITY SCHOOL OBIBI I","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","004","COMMUNITY SCHOOL OBIBI II","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","005","TOWN SCHOOL UMUANUMA I","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","006","TOWN SCHOO UMUANUMA II","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","007","CENTRAL SCHOOL NGURU","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","008","COMMUNITY SCHOOL EZIALA NA UMUODA I","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","009","COMMUNITY SCHOOL EZIALA NA UMUODA II","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","010","COMMUNITY SCHOOL UMUANUMA","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","011","COMMUNITY SCHOOL EZIALA","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","012","COMMUNITY SCHOOL NGURU","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","013","ALADINMA UMUEZII","NEW PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","014","OBOKWU HALL","NEW PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","015","UMUAGWUKWU HALL","NEW PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","016","UBAHA HALL","NEW PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","017","UMUAGUCHO HALL","NEW PU"
"IMO","ABOH MBAISE","NGURU-AHIATO","018","NDUHU HALL","NEW PU"
"IMO","ABOH MBAISE","NGURU-NWENKWO","001","UMUOMA-UMUALAEKE HALL","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-NWENKWO","002","UMUCHIEZE HALL I","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-NWENKWO","003","UMUCHIEZE HALL II","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-NWENKWO","004","UMUBOCHI HALL","EXISTING PU"
"IMO","ABOH MBAISE","NGURU-NWENKWO","005","COMMUNITY SCHOOL UMUOPARA","EXISTING PU"
