"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"JIGAWA","AUYO","AUYO","001","AUYO SPECIAL PRI. SCH. AUYO KUKA","EXISTING PU"
"JIGAWA","AUYO","AUYO","002","AUYO VETNARY - VETNARY","EXISTING PU"
"JIGAWA","AUYO","AUYO","003","AUYO BAYI","EXISTING PU"
"JIGAWA","AUYO","AUYO","004","KOFAR AMADU AUYO KIRA","EXISTING PU"
"JIGAWA","AUYO","AUYO","005","AUYO GABAS PRI. SCH. AUYO GABAS","EXISTING PU"
"JIGAWA","AUYO","AUYO","006","AUYO DISPENSARY, AUYO DISPENSARY","EXISTING PU"
"JIGAWA","AUYO","AUYO","007","JAMAAR AIKALI MAIBAURE, MAI BAURE","EXISTING PU"
"JIGAWA","AUYO","AUYO","008","KAZIYETA K. FADA, KAZIYETA","EXISTING PU"
"JIGAWA","AUYO","AUYO","009","TSURUTAWA, TSURUTAWA","EXISTING PU"
"JIGAWA","AUYO","AUYO","010","HADIYO PRI. SCH HADIYO","EXISTING PU"
"JIGAWA","AUYO","AUYO","011","MAKERAYI VILLAGE","EXISTING PU"
"JIGAWA","AUYO","AUYO","012","GIDAN DALLAH PRI. SCH., GIDAN DALLAH","EXISTING PU"
"JIGAWA","AUYO","AUYO","013","ZABARO PRI. SCH. ZABARO","EXISTING PU"
"JIGAWA","AUYO","AUYO","014","AUYO SPECIAL PRI. SCHOOL YAMMA","NEW PU"
"JIGAWA","AUYO","AUYO","015","AUYO SPECIAL PRI. SCHOOL KUDU","NEW PU"
"JIGAWA","AUYO","AUYO","016","AUYO WOMEN CENTER","NEW PU"
"JIGAWA","AUYO","AUYO","017","E.P.I OFFICE AUYO","NEW PU"
"JIGAWA","AUYO","AUYO","018","UPPER SHARIA COURT AUYO","NEW PU"
"JIGAWA","AUYO","AUYO","019","AUYO SABUWA","NEW PU"
"JIGAWA","AUYO","AUYO","020","AUYO BULUKAI","NEW PU"
"JIGAWA","AUYO","AUYO","021","AUYO CENTRAL JUNIOR SECONDARY SCHOOL","NEW PU"
"JIGAWA","AUYO","AUYO","022","AUYO ISLAMIYYA PRIMARY SCHOOL","NEW PU"
"JIGAWA","AUYO","AUYO","023","HADIYO PRIMARY SCHOOL II","NEW PU"
"JIGAWA","AUYO","AUYO","024","ZABARO PRIMARY SCHOOL KUDU","NEW PU"
"JIGAWA","AUYO","AUYAKAYI","001","AUYAKAYI PRI. SCH, AUYAKAYI","EXISTING PU"
"JIGAWA","AUYO","AUYAKAYI","002","KUDIGIN PRI. SCH. KUDIGIN","EXISTING PU"
"JIGAWA","AUYO","AUYAKAYI","003","AKUBUSHIN PRI. SCH., AKUBISHIN","EXISTING PU"
"JIGAWA","AUYO","AUYAKAYI","004","RIGAR MAAJI K.FADA, RIGAR NA'AJI","EXISTING PU"
"JIGAWA","AUYO","AUYAKAYI","005","SHAWARA PRI. SCH, SHAWARA","EXISTING PU"
"JIGAWA","AUYO","AUYAKAYI","006","CHIROMAWA PRI. SCH., CHIROMAWA","EXISTING PU"
"JIGAWA","AUYO","AUYAKAYI","007","KARSHA DUNKUN K.FADA, KARSHA DUNKUN","EXISTING PU"
"JIGAWA","AUYO","AUYAKAYI","008","MATAKUWA K. FADA, AYATAKUWA","EXISTING PU"
"JIGAWA","AUYO","AUYAKAYI","009","MARAKAWA FADA, MARAKAWA VILLAGE","EXISTING PU"
"JIGAWA","AUYO","AUYAKAYI","010","UNGUWAR TUWANA","NEW PU"
"JIGAWA","AUYO","AUYAKAYI","011","GIDAN JIGAWA","NEW PU"
"JIGAWA","AUYO","AUYAKAYI","012","KUDIGIN ANKU","NEW PU"
"JIGAWA","AUYO","AYAMA","001","AYAMA PRI. SCH. AYAMA I","EXISTING PU"
