"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","001","EDUCATION OFFICE","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","002","PRY. SCH. SHITU","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","003","AREA COURT","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","004","COMMUNITY SCHOOL","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","005","ISLAMIYA PRY. SCH.","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","006","MAIGWARI PRY. SCH.","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","007","LIBRARY OFFICE","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","008","PRY.SCH.UNG.LIMAN","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","009","UNG ALI GADO","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","010","LEPROSY CLINIC","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","011","G.S.S. B/GWARI","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","012","B.A.T.C. B/GWARI","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","013","SOCIAL WELFARE OFFICE","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","014","KASUWAN DOYA (OS)","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","015","DADINKOWA OVERHEAD TANK (OS)","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","016","UNG ILIYA OVER HEAD TANK (OS)","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","017","ISLAMIYA PRI SCH KWAKOWOKI","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","018","WOMEN CENTRE","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","019","BRININ GWARI TOWN HALL","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","020","TOBACCO COMPANY (OS)","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","021","KULLIYA PRI SCH (OS)","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","022","GUMI ISLAMIYA PRI SCH","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI I","023","G.J.S.S B/GWARI","NEW PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","001","SPORT COUNCIL OFFICE","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","002","S/YAKI PRY. SCH.","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","003","R.E.B. POWER HOUSE I","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","004","R.E.B. POWER HOUSE II","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","005","BAGOMA PRY. SCH.","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","006","V.I.O. OFFICE BAGOMA","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","007","DOGON HAWA PRY. SCH.","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","008","UNG. FARI PRY. SCH","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","009","UNG. KWAMBE","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","010","BUGAI PRY. SCH.","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","011","UNG. LAYA","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","012","UNG. DOGARA","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","013","UNG. ZAMAN DAGI","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","014","UNG. AWARO","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","015","TV CENTRE I","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","016","TV CENTRE II","EXISTING PU"
"KADUNA","BIRNIN GWARI","MAGAJIN GARI II","017","V.I.O. OFFICE","EXISTING PU"
