"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"KANO","AJINGI","AJINGI","001","ANSARUDDEEEN ISLAMIYYA SCH","EXISTING PU"
"KANO","AJINGI","AJINGI","002","OPPOSITE GIDAN ALKALI","EXISTING PU"
"KANO","AJINGI","AJINGI","003","KUMAWA BORI, NEAR, W/H HOUSE","EXISTING PU"
"KANO","AJINGI","AJINGI","004","MALIKAWA/ZARAWA, AJINGI YAMMA PS I","EXISTING PU"
"KANO","AJINGI","AJINGI","005","MALIKAWA/ZARAWA, AJINGI YAMMA PS II","EXISTING PU"
"KANO","AJINGI","AJINGI","006","MARAYAR SOBA, GIDAN MALAM","EXISTING PU"
"KANO","AJINGI","AJINGI","007","S/G/MALIKAWA, AJINGI YAMMA PS I","EXISTING PU"
"KANO","AJINGI","AJINGI","008","S/G/MALIKAWA, AJINGI YAMMA PS II","EXISTING PU"
"KANO","AJINGI","AJINGI","009","S/G DUGWAL , AJINGI YAMMA PS I","EXISTING PU"
"KANO","AJINGI","AJINGI","010","S/G DUGWAL , AJINGI YAMMA PS II","EXISTING PU"
"KANO","AJINGI","AJINGI","011","S/G SAKALAWA, AJINGI YAMMA PS III","EXISTING PU"
"KANO","AJINGI","AJINGI","012","SAGALAWA C/GARI SAGALAWA P.S.","EXISTING PU"
"KANO","AJINGI","AJINGI","013","UNG/AREWA, AJINGI LIBRARY I","EXISTING PU"
"KANO","AJINGI","AJINGI","014","AJINGI AREWA PRI.SCH","EXISTING PU"
"KANO","AJINGI","AJINGI","015","AJINGI MAGISTRATE COURT","EXISTING PU"
"KANO","AJINGI","AJINGI","016","UNG/KUDU, AJINGI SP. S I","EXISTING PU"
"KANO","AJINGI","AJINGI","017","UNG/KUDU, AJINGI SP. S II","EXISTING PU"
"KANO","AJINGI","AJINGI","018","UNG/KUDU, AJINGI SP. S III","EXISTING PU"
"KANO","AJINGI","AJINGI","019","UNG BORI, AJINGI DISPERSARY I","EXISTING PU"
"KANO","AJINGI","AJINGI","020","UNG BORI, AJINGI DISPERSARY II","EXISTING PU"
"KANO","AJINGI","AJINGI","021","ANSARUDDEEN ISLAMIYYA SCH.","NEW PU"
"KANO","AJINGI","AJINGI","022","OPP,GIDAN ALKALI","NEW PU"
"KANO","AJINGI","AJINGI","023","AJINGI AREWA PRI,SCH","NEW PU"
"KANO","AJINGI","AJINGI","024","AJINGI MAGISTRATE COURT,U/AREWA","NEW PU"
"KANO","AJINGI","AJINGI","025","UNG/BORI OLD CIVIL CEFENCE OFF","NEW PU"
"KANO","AJINGI","BALARE","001","ANCHACHA/KAUDAI, KAUDAI ROAD SIDE - (ROAD)","EXISTING PU"
"KANO","AJINGI","BALARE","002","BALARE GABAS, BALARE P. S. I","EXISTING PU"
"KANO","AJINGI","BALARE","003","BALARE GABAS, BALARE P. S. II","EXISTING PU"
"KANO","AJINGI","BALARE","004","BALARE GABAS, BALARE P. S. III","EXISTING PU"
"KANO","AJINGI","BALARE","005","BALARE YAMMA, BALARE P. S.","EXISTING PU"
"KANO","AJINGI","BALARE","006","CHIROMAWA, TSAMIYAR GAWO","EXISTING PU"
"KANO","AJINGI","BALARE","007","FULATAN C/GARI, FULANTAN PS","EXISTING PU"
"KANO","AJINGI","BALARE","008","FULANTAN GABAS, FULATAN CLINIC","EXISTING PU"
"KANO","AJINGI","BALARE","009","GYA DAWA/LABUJAN, LABUJAN PS.","EXISTING PU"
"KANO","AJINGI","BALARE","010","KAURA, TSAMIYAR,UBA","EXISTING PU"
"KANO","AJINGI","BALARE","011","SHADAKAJI/GARWA, SHADAKAJI PS","EXISTING PU"
"KANO","AJINGI","BALARE","012","TSE BURAWA GABAS/YAMMA W/H/ HOUSE","EXISTING PU"
"KANO","AJINGI","BALARE","013","YANBAKON FULANI, Y/FULANI PS","EXISTING PU"
"KANO","AJINGI","CHULA","001","CHULA C/GARI PS I","EXISTING PU"
"KANO","AJINGI","CHULA","002","CHULA C/GARI PS II","EXISTING PU"
"KANO","AJINGI","CHULA","003","CHULA C/GARI PS III","EXISTING PU"
"KANO","AJINGI","CHULA","004","CHULA K/KAWO/KUDU,VILLAGE H/HOUSE I","EXISTING PU"
"KANO","AJINGI","CHULA","005","CHULA K/KAWO/KUDU,VILLAGE H/HOUSE II","EXISTING PU"
"KANO","AJINGI","CHULA","006","DADDAWA/JIGAWA, NEAR KANKARE","EXISTING PU"
"KANO","AJINGI","CHULA","007","GURJI, NEAR W/H-HOUSE","EXISTING PU"
"KANO","AJINGI","CHULA","008","GUZAWA/YAUTAWA,GUZAWA PS","EXISTING PU"
"KANO","AJINGI","CHULA","009","KAWARI C/GARI, KAWARI P.S. I","EXISTING PU"
"KANO","AJINGI","CHULA","010","KAWARI C/GARI, KAWARI P.S. II","EXISTING PU"
"KANO","AJINGI","CHULA","011","KERA, KERA DISPENSARY","EXISTING PU"
"KANO","AJINGI","CHULA","012","SABARU J/DALI, J/DALI PS","EXISTING PU"
"KANO","AJINGI","CHULA","013","YANKINTA J/BANAGO, YANKINTA PS","EXISTING PU"
"KANO","AJINGI","DABIN KANAWA","001","DABAWA G/YAMMA, D/K P.S.","EXISTING PU"
