"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"KATSINA","BAKORI","BAKORI A","001","BAKORI GARI 1 - NADABO PRI.SCH.","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","002","BAKORI GARI II -NADABO PRI. SCH.","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","003","BAKORI III - K/G TALBAN BAKORI","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","004","BAKORI GARI IV - MASALLACIN IZALA","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","005","UNG TOFA I - K/G SARKIN FAWA","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","006","UNG TOFA II K/G.  MALAM BALA","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","007","UNG TOFA III - K/G MAI FULANI","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","008","UNG TOFA IV - OLD MARKET","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","009","BURI NADABO - K/G. MAL. YAHUZA","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","010","RAFIN SARKIN ZANGO I - DUTSEN ZANZARYA","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","011","RAFIN SARKIN ZANGO II K/G ALH.LAWAL RUMAWA","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","012","TASHAR GUGA 1 - L.E.A T/GUGA","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","013","TASHAR GUGA II L.E.A.T/GUGA","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","014","TASHAR GUGA III MARABAR DANJA K/G MAKAMA","EXISTING PU"
"KATSINA","BAKORI","BAKORI A","015","BAKORI GARI I/NADABO PRI. SCHOOL (NEW)","NEW PU"
"KATSINA","BAKORI","BAKORI A","016","BAKORI GARI II /NADABO PRI. SCHOOL (NEW I)","NEW PU"
"KATSINA","BAKORI","BAKORI A","017","BAKORI GARI II /NADABO PRI. SCHOOL (NEW II)","NEW PU"
