"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","001","OPEN SPACE OPPOSITE MARKET BAREBARI (BAREBARI)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","002","OPEN SPACE OPPOSITE MARKET FILIN ANGO (FILIN ANGO)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","003","OPEN SPACE OPP0SITE MDG FILIN JANGI (FILIN JANGI)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","004","OPEN SPACE OPPOSTE DANKATSINA ROAD (KAURAR DUTSE I)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","005","OPEN SPACE OPPOSITE IBR. ABBA ROAD (LEMI)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","006","OPEN SPACE DANKATSI ROAD (KAURAR DUTSE II)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","007","OPEN SPACE (TAWAGA)","NEW PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","008","KUKAR AUWALI OPEN SPACE","NEW PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","009","OPEN SPACE TAYATA MARIYA","NEW PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","010","SALIHU ATTA MODEL PRIMARY SCHOOL","NEW PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","011","GIDAN RUWA OPEN SPACE","NEW PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","012","OPEN SPACE BURMAWA","NEW PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","013","OPEN SPACE LUNGUN BULA","NEW PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA I","014","OPEN SPACE GIDAN BAKI","NEW PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA II","001","MODEL PRIMARY SCHOOL GUMBIN DARI (GUMBIN DARI)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA II","002","OPEN SPACE OPPOSITE MOSQUE GANDA SAMU (GANDA SAMU)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA II","003","MODEL PRIMARY SCHOOL GOMOZON ALERAWA (GOMOZON ALERAWA)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA II","004","MODEL PRIMARY SCHOOL KALI (KALI)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA II","005","MODEL PRIMARY SCHOOL SADAM MAIJEGA (SADAM MAIJEGA)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA II","006","MODEL PRIMARY SCHOOL SADAM SANDA (SADAM SANDA)","EXISTING PU"
"KEBBI","ALIERO","ALIERO  DANGALADIMA II","007","PHC KALI","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","001","OPEN SPACE OPPOSITE MOSQUE FILIN BAI (FILIN BAI)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA I","002","OPEN SPACE ADADA ROAD MARINA I (MARINA I)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA I","003","COURT PREMISES MARINA II (MARINA II)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA I","004","TRADITIONAL ORTHOPHEDIC HOSPITAL SHAYA (SHAYA )","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA I","005","ATTAHIRU MODEL PRIMARY SCHOOL SABON GARI (SABON GARI)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA I","006","OPEN SPACE OPPOSITE POLICE STATION TUDUN WADA (TUDUN WADA)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA I","007","ADAMU SULEIMAN NIZZAMIYYA PRIMARY SCHOOL","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","008","NAMASAWA OPEN SPACE","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","009","TSOHUWAR KASUWA, OPEN SPACE","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","010","GARKAR BUNU ALIERO (OPEN SPACE)","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","011","PHC MALLAMAWA","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","012","GARKAR SARKIN DORI OPEN SPACE","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","013","CHEDIYA OPEN SPACE","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","014","SABON GARI OPEN SPACE","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","015","NIZZAMIYYA PRIMARY SCHOOL","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","016","GOVT. GIRLS COMPREHENSIVE SECONDARY SCHOOL","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA I","017","WOMEN CENTRE TUDUN WADA","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA II","001","OPEN SPACE OPPOSITE BOREHOLE DORAWAI (DORAWAI)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA II","002","MODEL PRIMARY SCHOOL GUMBULU (GUMBULU)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA II","003","MODEL PRIMARY SCHOOL GUMBIN DARI (GUMBIN DARI)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA II","004","MODEL PRIMARY SCHOOL GANGIJE (GANGIJE)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA II","005","MODEL PRIMARY SCHOOL KAURAR SANI I (KAURAR SAINI I)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA II","006","MODEL PRIMARY SCHOOL KAURAR SANI II (KAURAR SAINI II)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA II","007","MODEL PRIMARY SCHOOL RUNTUWA (RUNTUWA)","EXISTING PU"
"KEBBI","ALIERO","ALIERO S/FADA II","008","SABON GARI GUMBULU","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA II","009","GARKAR MUSA ZAKARI OPEN SPACE","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA II","010","GARKAR MALAM AUDU TSOHO OPEN SPACE","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA II","011","GARKAR SARKIN SABIYAL OPEN SPACE","NEW PU"
"KEBBI","ALIERO","ALIERO S/FADA II","012","BAYAN KASUWAR ALBASA OPEN SPACE","NEW PU"
"KEBBI","ALIERO","DANWARAI","001","PRIMARY HEALTH CENTRE FADA (FADA)","EXISTING PU"
"KEBBI","ALIERO","DANWARAI","002","DANWARAI PRIMARY SCHOOL  (GEBE)","EXISTING PU"
"KEBBI","ALIERO","DANWARAI","003","OPEN SPACE OPPOSITE PUBLIC WELL HERE (HERE)","EXISTING PU"
"KEBBI","ALIERO","DANWARAI","004","OPEN SPACE LUNGUN KAURA  (LUNGUN KAURA)","EXISTING PU"
"KEBBI","ALIERO","DANWARAI","005","OPEN SPACE OPPOSITE BOREHOLE RUGGA (RUGGA)","EXISTING PU"
"KEBBI","ALIERO","DANWARAI","006","FADA II OPEN SPACE","NEW PU"
"KEBBI","ALIERO","DANWARAI","007","JUNIOR SECONDARY SCHOOL DANWARAI","NEW PU"
"KEBBI","ALIERO","DANWARAI","008","PHC HERE","NEW PU"
"KEBBI","ALIERO","JIGA BIRNI","001","OPEN SPACE OPPOSITE MOSQUE FILIN YAMMA  (FILIN YAMMA)","EXISTING PU"
"KEBBI","ALIERO","JIGA BIRNI","002","MODEL PRIMARY SCHOOL GANGIJE (GANGIJE)","EXISTING PU"
"KEBBI","ALIERO","JIGA BIRNI","003","IFAD BANK KASUWA (KASUWA)","EXISTING PU"
"KEBBI","ALIERO","JIGA BIRNI","004","OPEN SPACE MAGORAWA  (MAGORAWA)","EXISTING PU"
"KEBBI","ALIERO","JIGA BIRNI","005","OPEN SPACE RUGGA YAMMA (RUGGA YAMMA)","EXISTING PU"
"KEBBI","ALIERO","JIGA BIRNI","006","FILIN DAN AKUWA OPEN SPACE","NEW PU"
"KEBBI","ALIERO","JIGA MAKERA","001","MODEL PRIMARY SCHOOL JIGA KAMBARORI (JIGA KAMBARORI)","EXISTING PU"
