"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","001","NEAR OPOTUS COMPOUND I","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","002","NEAR OPOTUS COMPOUND II","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","003","OPPOSITE OHUMAHI PALACE","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","004","NEAR ALABI'S HOUSE","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","005","LGEA SCHOOL OZURI I","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","006","LGEA SCHOOL OZURI II","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","007","NEAR OZURI MOSQUE","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","008","OPPOSITE AJOUE'S HOUSE","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","009","OPPOSITE SANNI AJOUE'S HOUSE","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","010","FRONT OF VICTORY PRINTING OKUNCHI I","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","011","FRONT OF VICTORY PRINTING OKUNCHI II","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","012","LGEA SCHOOL OKUNCHI I","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","013","LGEA SCHOOL OKUNCHI II","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","014","LGEA SCHOOL OKUNCHI III","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","015","LGEA SCHOOL OKUNCHI","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","016","GDSS OKUNCHI","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","017","ANYOKE-EBA","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","018","NEAR ATTO'S COMPOUND","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","019","NEAR DANSULE'S COMPOUND","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","020","OPEN SPACE NEAR DANSULE'S COMPOUND","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","021","OPEN SPACE NEAR OCHU'S HOUSE ANYOKE EBA","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","022","NEAR ALHASSAN'S HOUSE ANYOKE","EXISTING PU"
"KOGI","ADAVI","OKUNCHI/OZURI/ONIEKA","023","ANYOKE-EBA","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","001","LGEA SCHOOL OGAMINANA I","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","002","LGEA SCHOOL OGAMINANA II","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","003","ABADAGI STREET I","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","004","ABADAGI STREET II","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","005","ABADAGI STREET III","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","006","LGEA SCHOOL OGAMINANA (PREM. SEC) I","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","007","LGCA SCHOOL LOGAMININA (PERM. SEC) II","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","008","LGCA SCHOOL LOGAMININA (PERM. SEC) III","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","009","FRONT OF COURT I","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","010","FRONT OF COURT II","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","011","MATERNITY CENTRE I","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","012","MATERNITY CENTRE II","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","013","POSTAL AGENCY REVENU OFFICE I","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","014","POSTAL AGENCY REVENU OFFICE II","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","015","LGEA SCHOOL IDATOCHI","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","016","NEAR ISAH ATTA'S COMPOUND","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","017","NEAR BADAMS COMPOUND","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","018","LGEA SCHOOL OGAMINANA","EXISTING PU"
"KOGI","ADAVI","OGAMINANA","019","OPEN SPACE UNDER MANGO TREE BEHIND BOLA CLINIC OGAMINANA","NEW PU"
"KOGI","ADAVI","OGAMINANA","020","OPEN SPACE NEAR SALAWU AWECHI COMP URUVABA OGAMINANA","NEW PU"
"KOGI","ADAVI","OGAMINANA","021","OPEN SPACE UNDER TREE CLOSE TO SHEIK BUHARI CENTRAL MOSQUE OGAMINANA","NEW PU"
"KOGI","ADAVI","OGAMINANA","022","OPEN SPACE NEAR JIMOH OMOYI'S COMP UTOKUHA OGAMINANA","NEW PU"
"KOGI","ADAVI","IRUVUCHEBA","001","NEAR SUBERU OKINO I","EXISTING PU"
"KOGI","ADAVI","IRUVUCHEBA","002","NEAR SUBERU OKINO II","EXISTING PU"
"KOGI","ADAVI","IRUVUCHEBA","003","NEAR OBAJIMOH'S COMPOUND I","EXISTING PU"
