"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"KWARA","ASA","YOWERE/SOSOKI","001","SOSOKI L G E A SCH","EXISTING PU"
"KWARA","ASA","YOWERE/SOSOKI","002","ONIYEYE OPEN SPACE","EXISTING PU"
"KWARA","ASA","YOWERE/SOSOKI","003","LAODU 1 OPEN SPACE","EXISTING PU"
"KWARA","ASA","YOWERE/SOSOKI","004","IDI-OSE L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","YOWERE/SOSOKI","005","SOSOKI LGEA SCH II","NEW PU"
"KWARA","ASA","YOWERE/SOSOKI","006","ONIYEYE LGEA SCHOOL","NEW PU"
"KWARA","ASA","ADIGBONGBO/AWE/ORIMARO","001","ADIGBONGBO L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ADIGBONGBO/AWE/ORIMARO","002","AWE L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ADIGBONGBO/AWE/ORIMARO","003","AFO-OJA L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ADIGBONGBO/AWE/ORIMARO","004","YEDE/ORIMARO L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ADIGBONGBO/AWE/ORIMARO","005","TIRO L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ADIGBONGBO/AWE/ORIMARO","006","OKE-PETE OLORI LGEA SCH","NEW PU"
"KWARA","ASA","ELEBUE/AGBONA/FATA","001","OJA-IYA L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ELEBUE/AGBONA/FATA","002","AGBONA L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ELEBUE/AGBONA/FATA","003","MEGIDA EDUNJO OPEN SPACE I","EXISTING PU"
"KWARA","ASA","ELEBUE/AGBONA/FATA","004","MEGIDA EDUNJO OPEN SPACE II","EXISTING PU"
"KWARA","ASA","ELEBUE/AGBONA/FATA","005","OMOJAMO DISPENSARY","EXISTING PU"
"KWARA","ASA","ELEBUE/AGBONA/FATA","006","IGBOROKO L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ELEBUE/AGBONA/FATA","007","BUDO TUNTUN OPEN SPACE","EXISTING PU"
"KWARA","ASA","ELEBUE/AGBONA/FATA","008","BUDO TUNN LGEA SCHOOL","NEW PU"
"KWARA","ASA","ELEBUE/AGBONA/FATA","009","AGBOOLU LGEA SCHOOL","NEW PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","001","ALAPA L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","002","KONDORO L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","003","ODE-GIWA MARKET","EXISTING PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","004","ONIKEKE L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","005","ONIRE ALHAJI OPEN SPACE","EXISTING PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","006","LABITAN L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","007","ALAPA KORO OPEN SPACE","EXISTING PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","008","ALAPA AREA COURT","NEW PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","009","ODEGIWA LGEA SCH","NEW PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","010","ONIPAKO LGEA SCH","NEW PU"
"KWARA","ASA","ONIRE/ODEGIWA/ALAPA","011","LGEA SCHOOL LAMBA","NEW PU"
"KWARA","ASA","YOWERE 11/OKEWERU","001","ALAPETE DISPENSARY","EXISTING PU"
"KWARA","ASA","YOWERE 11/OKEWERU","002","BAKASE L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","YOWERE 11/OKEWERU","003","OLUPO-IJANA L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","YOWERE 11/OKEWERU","004","ABIOWA L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","YOWERE 11/OKEWERU","005","ABEMI L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","YOWERE 11/OKEWERU","006","OGUNLOMA/GAA GBURUKU COMMUNITY HALL","NEW PU"
"KWARA","ASA","GAMBARI/AIYEKALE","001","DONGARI ETILE L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","GAMBARI/AIYEKALE","002","SOKOTO L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","GAMBARI/AIYEKALE","003","DONGARI LGEA SCH II","NEW PU"
"KWARA","ASA","EFUE/BERIKODO","001","EFUE L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","EFUE/BERIKODO","002","BERIKODO L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","EFUE/BERIKODO","003","GBENAGBENA L.G.E.A SCH","EXISTING PU"
"KWARA","ASA","EFUE/BERIKODO","004","EFUE LGEA SCH II","NEW PU"
"KWARA","ASA","EFUE/BERIKODO","005","BERIKODO LGEA SCH II","NEW PU"
"KWARA","ASA","OWODE/GBOGUN","001","OWODE L.G.E.A.SCH","EXISTING PU"
"KWARA","ASA","OWODE/GBOGUN","002","AJUWON  L.G.E.A.SCH","EXISTING PU"
"KWARA","ASA","OWODE/GBOGUN","003","GBOGUN  L.G.E.A.SCH","EXISTING PU"
"KWARA","ASA","OWODE/GBOGUN","004","ELERE/TAFATAFA  L.G.E.A.SCH","EXISTING PU"
"KWARA","ASA","OWODE/GBOGUN","005","OWODE LGEA SCH II","NEW PU"
"KWARA","ASA","OWODE/GBOGUN","006","AJUWON LGEA SCHOOL II","NEW PU"
"KWARA","ASA","OWODE/GBOGUN","007","COMPREHENSIVE HEALTH CARE","NEW PU"
"KWARA","ASA","BALLAH/OTTE","001","OTTE  L.G.E.A.SCH","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","002","BUDO ARE  L.G.E.A.SCH","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","003","BALLAH  L.G.E.A.SCH","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","004","ARAROMI  L.G.E.A.SCH","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","005","EYENKORIN  L.G.E.A.SCH","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","006","OTTE MARKET","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","007","OTTE MATERNITY","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","008","AREA COURT BALLAH","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","009","GBAGBA  L.G.E.A.SCH","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","010","ILE ABE OTTE OPEN SPACE","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","011","LASOJU OPEN SPACE","EXISTING PU"
"KWARA","ASA","BALLAH/OTTE","012","OTTE LGEA SCHOOL II","NEW PU"
"KWARA","ASA","BALLAH/OTTE","013","BALLAH LGEA SCH II","NEW PU"
"KWARA","ASA","BALLAH/OTTE","015","EYENKORIN LGEA SCH II","NEW PU"
