"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"NASARAWA","AKWANGA","AGYAGA","001","NINGA 1","EXISTING PU"
"NASARAWA","AKWANGA","AGYAGA","002","NINGA 11","EXISTING PU"
"NASARAWA","AKWANGA","AGYAGA","003","ASHE","EXISTING PU"
"NASARAWA","AKWANGA","AGYAGA","004","AGYAGA","EXISTING PU"
"NASARAWA","AKWANGA","AGYAGA","005","TAKPIR","EXISTING PU"
"NASARAWA","AKWANGA","AGYAGA","006","U/PAH","EXISTING PU"
"NASARAWA","AKWANGA","AGYAGA","007","MANVEH I","NEW PU"
"NASARAWA","AKWANGA","AGYAGA","008","IKPON ST. BY HOUSE NO. 20","NEW PU"
"NASARAWA","AKWANGA","AGYAGA","009","AKKA","NEW PU"
"NASARAWA","AKWANGA","AGYAGA","010","LALLE","NEW PU"
"NASARAWA","AKWANGA","AGYAGA","011","DUNDU","NEW PU"
"NASARAWA","AKWANGA","AGYAGA","012","KOKO","NEW PU"
"NASARAWA","AKWANGA","ANCHOBABA","001","RIJA SARKI","EXISTING PU"
"NASARAWA","AKWANGA","ANCHOBABA","002","GBUWHEN","EXISTING PU"
"NASARAWA","AKWANGA","ANCHOBABA","003","ANCHO SARKI","EXISTING PU"
"NASARAWA","AKWANGA","ANCHOBABA","004","NGARE","EXISTING PU"
"NASARAWA","AKWANGA","ANCHOBABA","005","UNG ZARIA 1","EXISTING PU"
"NASARAWA","AKWANGA","ANCHOBABA","006","UNG ZARIA 11","EXISTING PU"
"NASARAWA","AKWANGA","ANCHOBABA","009","ANJAGWA SARKIN NOMA PRI. SCH","NEW PU"
"NASARAWA","AKWANGA","ANCHOBABA","010","LGA PRI. SCH KOBUR","NEW PU"
"NASARAWA","AKWANGA","ANCHOBABA","011","KWO","NEW PU"
"NASARAWA","AKWANGA","ANCHOBABA","012","KPLA MAINAGWA","NEW PU"
"NASARAWA","AKWANGA","ANCHOBABA","013","AGYAR PRI. SCH","NEW PU"
