"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"NIGER","AGAIE","BARO","001","AKWANO","EXISTING PU"
"NIGER","AGAIE","BARO","002","BARO I","EXISTING PU"
"NIGER","AGAIE","BARO","003","BARO II","EXISTING PU"
"NIGER","AGAIE","BARO","004","BAWALAGI","EXISTING PU"
"NIGER","AGAIE","BARO","005","ESSUN","EXISTING PU"
"NIGER","AGAIE","BARO","006","EVUNTAGI","EXISTING PU"
"NIGER","AGAIE","BARO","007","KAKPI","EXISTING PU"
"NIGER","AGAIE","BARO","008","KIBBAN","EXISTING PU"
"NIGER","AGAIE","BARO","009","KOROKA KPASA","EXISTING PU"
"NIGER","AGAIE","BARO","010","GUREGI","EXISTING PU"
"NIGER","AGAIE","BARO","011","LAKAN-EKAGI","EXISTING PU"
"NIGER","AGAIE","BARO","012","LOGUMA","EXISTING PU"
"NIGER","AGAIE","BARO","013","MAKWAGI","EXISTING PU"
"NIGER","AGAIE","BARO","014","ZAGO","EXISTING PU"
"NIGER","AGAIE","BARO","015","KOLONJI PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","BARO","016","TIMIGI PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","BARO","017","ESSUN PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","BARO","018","ZAGO-TAKO","NEW PU"
"NIGER","AGAIE","BOKU","001","BOKU","EXISTING PU"
"NIGER","AGAIE","BOKU","002","CHEKPADAN","EXISTING PU"
"NIGER","AGAIE","BOKU","003","EDOKO","EXISTING PU"
"NIGER","AGAIE","BOKU","004","ESSANGI I","EXISTING PU"
"NIGER","AGAIE","BOKU","005","ESSANGI II","EXISTING PU"
"NIGER","AGAIE","BOKU","006","JIPO","EXISTING PU"
"NIGER","AGAIE","BOKU","007","KUSOGBOGI","EXISTING PU"
"NIGER","AGAIE","BOKU","008","MANFARA","EXISTING PU"
"NIGER","AGAIE","BOKU","009","NAMI","EXISTING PU"
"NIGER","AGAIE","BOKU","010","KUNGURU","EXISTING PU"
"NIGER","AGAIE","BOKU","011","EJIKO PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","BOKU","012","EMI TSWACHI","NEW PU"
"NIGER","AGAIE","BOKU","013","JIPO TIFFIN","NEW PU"
"NIGER","AGAIE","BOKU","014","SHABA ISAH PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","EKOBADEGGI","001","ABDULKADIR UBANDAWAKI","EXISTING PU"
"NIGER","AGAIE","EKOBADEGGI","002","ALKALI MUSA","EXISTING PU"
"NIGER","AGAIE","EKOBADEGGI","003","BABA DAUDU WAMBAI","EXISTING PU"
"NIGER","AGAIE","EKOBADEGGI","004","EMI BABA HALILU","EXISTING PU"
"NIGER","AGAIE","EKOBADEGGI","005","ETSU MOH. BELLO","EXISTING PU"
"NIGER","AGAIE","EKOBADEGGI","006","MUSA NASIRU GHANATA  I","EXISTING PU"
"NIGER","AGAIE","EKOBADEGGI","007","MUSA NASIRU GHANATA  II","EXISTING PU"
"NIGER","AGAIE","EKOBADEGGI","008","JIYA ISAH","NEW PU"
"NIGER","AGAIE","EKOBADEGGI","009","BABA DAUDU II","NEW PU"
"NIGER","AGAIE","EKOBADEGGI","010","ETSU MUHAMMADU BELLO II","NEW PU"
"NIGER","AGAIE","EKOBADEGGI","011","EMI-MAFARA","NEW PU"
"NIGER","AGAIE","EKOBADEGGI","012","WAZIRI PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","EKOSSA","001","EMI DZWAFU","EXISTING PU"
"NIGER","AGAIE","EKOSSA","002","EMI FULAKO I","EXISTING PU"
"NIGER","AGAIE","EKOSSA","003","EMI FULAKO II","EXISTING PU"
"NIGER","AGAIE","EKOSSA","004","ISIYAKU PRIMARY SCHOOL","EXISTING PU"
"NIGER","AGAIE","EKOSSA","005","EMI KPOKPOTA","EXISTING PU"
"NIGER","AGAIE","EKOSSA","006","NUHU LAFARMA PRIMARY SCHOOL","EXISTING PU"
"NIGER","AGAIE","EKOSSA","007","YAKATCHA YABUZUMA","EXISTING PU"
"NIGER","AGAIE","EKOSSA","008","WALI SULEIMAN","EXISTING PU"
"NIGER","AGAIE","EKOSSA","009","KPOTUN WORO","EXISTING PU"
"NIGER","AGAIE","EKOSSA","010","ISIYAKU PRIMARY SCHOOL I.","NEW PU"
"NIGER","AGAIE","EKOSSA","011","EMI KPOKPOTA I","NEW PU"
"NIGER","AGAIE","EKOSSA","012","EMI-NAKORDI","NEW PU"
"NIGER","AGAIE","EKOWUGI","001","EFU KENCHI","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","002","EMI ALIYU BANTIGI","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","003","EMI LAILA","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","004","MAN YAHAYA","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","005","NDAGI KPANU","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","006","NDAGI KWADZA","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","007","NDANUSA JIKADA","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","008","NUHU PRIMARY SCHOOL I","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","009","NUHU PRIMARY SCHOOL II","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","010","MUSA GARKUWA","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","011","OLD POST OFFICE","EXISTING PU"
"NIGER","AGAIE","EKOWUGI","012","OLD MATERNITY HOUSE","NEW PU"
"NIGER","AGAIE","EKOWUGI","013","NUHU PRIMARY SCHOOL II","NEW PU"
"NIGER","AGAIE","EKOWUNA","001","ABUBAKAR PRIMARY SCHOOL  I","EXISTING PU"
"NIGER","AGAIE","EKOWUNA","002","ABUBAKAR PRIMARY SCHOOL II","EXISTING PU"
"NIGER","AGAIE","EKOWUNA","003","ABUBAKAR A.G.","EXISTING PU"
"NIGER","AGAIE","EKOWUNA","004","EMI GULUCHI","EXISTING PU"
"NIGER","AGAIE","EKOWUNA","005","EMI SHESHI","EXISTING PU"
"NIGER","AGAIE","EKOWUNA","006","ETSU MOH ATTAHIRU","EXISTING PU"
"NIGER","AGAIE","EKOWUNA","007","LIMAN YUNUSA KENCHI","EXISTING PU"
"NIGER","AGAIE","EKOWUNA","008","S.I. JIYA GATSHA","EXISTING PU"
"NIGER","AGAIE","EKOWUNA","009","SULEMAN PRIMARY SCHOOL","EXISTING PU"
"NIGER","AGAIE","EKOWUNA","010","TELEVISION","EXISTING PU"
"NIGER","AGAIE","EKOWUNA","011","ADU AGO","NEW PU"
"NIGER","AGAIE","EKOWUNA","012","EMI MAN SHABA","NEW PU"
"NIGER","AGAIE","EKOWUNA","013","OLD MAGISTRATE COURT","NEW PU"
"NIGER","AGAIE","EKOWUNA","014","EMI MAYAKI TIFFIN","NEW PU"
"NIGER","AGAIE","EKOWUNA","015","NAIBI","NEW PU"
"NIGER","AGAIE","EKOWUNA","016","GRA PHASE I","NEW PU"
"NIGER","AGAIE","EKOWUNA","017","SHAGARI LODGE","NEW PU"
"NIGER","AGAIE","ETSUGAIE","001","CHATA I","EXISTING PU"
"NIGER","AGAIE","ETSUGAIE","002","CHATA  II","EXISTING PU"
"NIGER","AGAIE","ETSUGAIE","003","ETSUGAIE","EXISTING PU"
"NIGER","AGAIE","ETSUGAIE","004","JIKPANGI","EXISTING PU"
"NIGER","AGAIE","ETSUGAIE","005","KENCHI-KAZA","EXISTING PU"
"NIGER","AGAIE","ETSUGAIE","006","KORIYAGI","EXISTING PU"
"NIGER","AGAIE","ETSUGAIE","007","LIMAN","EXISTING PU"
"NIGER","AGAIE","ETSUGAIE","008","MAYAKI","EXISTING PU"
"NIGER","AGAIE","ETSUGAIE","009","TSADUKO","EXISTING PU"
"NIGER","AGAIE","ETSUGAIE","010","KAKAKI PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","ETSUGAIE","011","GOV'T DAY SCIENCE COLLEGE","NEW PU"
"NIGER","AGAIE","ETSUGAIE","012","MAZA PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","ETSUGAIE","013","EYANGI PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","ETSUGAIE","014","NANKOKAN PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","ETSUGAIE","015","SALLAWU GBAKOROKO","NEW PU"
"NIGER","AGAIE","ETSUGAIE","016","GUDUNGU PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","ETSUGAIE","017","ZHIMA PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","DAUACI","001","BORORO-KASANAGI","EXISTING PU"
"NIGER","AGAIE","DAUACI","002","BOROROKO","EXISTING PU"
"NIGER","AGAIE","DAUACI","003","BATAKO","EXISTING PU"
"NIGER","AGAIE","DAUACI","004","EKOGI LANBOWORO","EXISTING PU"
"NIGER","AGAIE","DAUACI","005","EKPAGI","EXISTING PU"
"NIGER","AGAIE","DAUACI","006","EWUGI DAGACHI","EXISTING PU"
"NIGER","AGAIE","DAUACI","007","EYE","EXISTING PU"
"NIGER","AGAIE","DAUACI","008","EWUGI","EXISTING PU"
"NIGER","AGAIE","DAUACI","009","SALAWU","EXISTING PU"
"NIGER","AGAIE","DAUACI","010","SANTALI","EXISTING PU"
"NIGER","AGAIE","DAUACI","011","EKPAGI NOMADIC SCHOOL","NEW PU"
"NIGER","AGAIE","DAUACI","012","EBUGI","NEW PU"
"NIGER","AGAIE","DAUACI","013","NDA KPOTU PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","KUTIRIKO","001","KUTIRIKO NDABATA","EXISTING PU"
"NIGER","AGAIE","KUTIRIKO","002","KUTIRIKO PRIMARY SCHOOL  I","EXISTING PU"
"NIGER","AGAIE","KUTIRIKO","003","KUTURIKO PRIMARY SCHOOL  II","EXISTING PU"
"NIGER","AGAIE","KUTIRIKO","004","MABA","EXISTING PU"
"NIGER","AGAIE","KUTIRIKO","005","NDA MARAKI","EXISTING PU"
"NIGER","AGAIE","KUTIRIKO","006","NDA  KOTSU","EXISTING PU"
"NIGER","AGAIE","KUTIRIKO","007","NUGBAN / KAPAGI","EXISTING PU"
"NIGER","AGAIE","KUTIRIKO","008","SALAWU CIKAN","EXISTING PU"
"NIGER","AGAIE","KUTIRIKO","009","TSADZA","EXISTING PU"
"NIGER","AGAIE","KUTIRIKO","010","TSWA CHIKO","EXISTING PU"
"NIGER","AGAIE","KUTIRIKO","011","DOKOCHI PRIMARY SCHOOL","NEW PU"
"NIGER","AGAIE","KUTIRIKO","012","NDAMARAKI TIFFIN","NEW PU"
"NIGER","AGAIE","KUTIRIKO","013","NDAKOTSU TRANSFORMER","NEW PU"
"NIGER","AGAIE","KUTIRIKO","014","ANGUWAN BABA YAKUBU","NEW PU"
"NIGER","AGAIE","MAGAJI","001","BUGANA","EXISTING PU"
"NIGER","AGAIE","MAGAJI","002","EMI SHESHI / UMAR","EXISTING PU"
"NIGER","AGAIE","MAGAJI","003","GBENKU","EXISTING PU"
"NIGER","AGAIE","MAGAJI","004","GOYIKO","EXISTING PU"
"NIGER","AGAIE","MAGAJI","005","JITU MAGAJI","EXISTING PU"
"NIGER","AGAIE","MAGAJI","006","SHABA WOSHI","EXISTING PU"
"NIGER","AGAIE","MAGAJI","007","SHIPOGI","EXISTING PU"
"NIGER","AGAIE","MAGAJI","008","TSADU ZAYIKO","EXISTING PU"
"NIGER","AGAIE","MAGAJI","009","TSAKPATI","EXISTING PU"
