"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"OGUN","ABEOKUTA NORTH","IKEREKU","001","O.U.S PRY. SCHOOL IKEREKU I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","002","O.U.S PRY. SCHOOL IKEREKU  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","003","NEAR HOLY TRINITY CHURCH I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","004","NEAR HOLY TRINITY CHURCH II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","005","NEAR ITA OGBONI IDOMAPA I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","006","NEAR ITA OGBONI IDOMAPA II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","007","OJUDE AGBURIN","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","008","NEAR AROWOREHIN MOSQUE II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","009","NEAR OKE ERI MOSQUE","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","010","NEAR LASODE HOUSE I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","011","NEAR LASODE HOUSE II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","012","OPEN SPACE CLOSE TO THE AJANAKU'S","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","013","OPEN SPACE NEAR ITA OGBONI, IKEREKU","NEW PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","014","OPEN SPACE NEAR ALARAN MOSQUE, IKEREKU","NEW PU"
"OGUN","ABEOKUTA NORTH","IKEREKU","015","OJUFEREWA SQUARE, AGO ODO.","NEW PU"
"OGUN","ABEOKUTA NORTH","IKIJA","001","NUD IKIJA  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKIJA","002","NUD IKIJA  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKIJA","003","HOLY PROPHET ISALE OGUN  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKIJA","004","HOLY PROPHET ISALE OGUN  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKIJA","005","AHMADIYA PRY. SCHOOL","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKIJA","006","OPEN SPACE AT OSUNRINDE'S HOUSE I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","IKIJA","007","NEAR CENTRAL MOSQUE, IKIJA","NEW PU"
"OGUN","ABEOKUTA NORTH","IKIJA","008","NEAR ADEDOTUN CENTRAL MOSQUE, OJUDE AGBURIN","NEW PU"
"OGUN","ABEOKUTA NORTH","IKIJA","009","OPEN SPACE AT ABIYE JUNCTION, ADEDOTUN","NEW PU"
"OGUN","ABEOKUTA NORTH","IKIJA","010","OPEN SPACE AT OSUNRINDE'S HOUSE II","NEW PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","001","SPACE AT ITAMORIN  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","002","SPACE AT ITAMORIN  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","003","SPACE AT KINOSHI HOUSE  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","004","SPACE AT KINOSHI HOUSE  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","005","MUSLIM PRY. SCHOOL AGO-OKO  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","006","MUSLIM PRY. SCHOOL AGO-OKO  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","007","MUSLIM PRY. SCHOOL AGO-OKO  III","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","008","ITA BALOGUN MOSQUE  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","009","ITA BALOGUN MOSQUE  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","010","ITA BALOGUN MOSQUE  III","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","011","ARAROMI MOSQUE","EXISTING PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","012","OPEN SPACE NEAR PUBLIC WATER, ITAMORIN","NEW PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","013","OPEN SPACE AT OBA ADEDAMOLA STREET","NEW PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","014","OPEN SPACE IN FRONT OF TAPO MOSQUE","NEW PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","015","NEAR ALABUKUN HOUSE","NEW PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","016","OPEN SPACE NEAR TANTOLORUN MOSQUE, OKE-OKO","NEW PU"
"OGUN","ABEOKUTA NORTH","AGO OKO","017","OPEN SPACE IN FRONT OF JEHOVAH WITNESS, KINGDOM HALL","NEW PU"
"OGUN","ABEOKUTA NORTH","ELEGA","001","MUSLIM PRY. SCHOOL ELEGA  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ELEGA","002","MUSLIM PRY. SCHOOL ELEGA  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ELEGA","003","MUSLIM PRY. SCHOOL ELEGA  III","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ELEGA","004","MUSLIM PRY. SCHOOL ELEGA  IV","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ELEGA","005","ILUGUN HIGH SCHOOL  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ELEGA","006","ILUGUN HIGH SCHOOL  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ELEGA","007","ILUGUN HIGH SCHOOL  III","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ELEGA","008","SPACE AT LEPER COLONY  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ELEGA","009","SPACE AT LEPER COLONY  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ELEGA","010","OPELOYERU MOSQUE IMALA","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ELEGA","011","O.U.S NUR/PRY SCHOOL ELEGA","NEW PU"
"OGUN","ABEOKUTA NORTH","ELEGA","012","OPEN SPACE AT IYANA OJA  IDOFIN","NEW PU"
"OGUN","ABEOKUTA NORTH","ELEGA","013","OPEN SPACE BESIDE SEMBAD FILLING STATION, IDOFIN, ELEGA","NEW PU"
"OGUN","ABEOKUTA NORTH","ELEGA","014","SCHOOL PREMISES A.N.L.G NURSERY AND PRIMARY SCHOOL F.H.E. ELEGA.","NEW PU"
"OGUN","ABEOKUTA NORTH","ELEGA","015","A2 FIELD  IN FRONT F.H.E   ROTARY CLUB, ELEGA","NEW PU"
"OGUN","ABEOKUTA NORTH","ELEGA","016","1.OPEN SPACE BESIDE COMMUNITY MOSQUE, F.H.E. ELEGA.","NEW PU"
"OGUN","ABEOKUTA NORTH","ELEGA","017","OPEN SPACE AT B1 JUNCTION BY GOLDEN SCHOOL, ELEGA","NEW PU"
"OGUN","ABEOKUTA NORTH","ELEGA","018","OPEN SPACE AT ODO-EJA ILUPEJU JUNCTION","NEW PU"
"OGUN","ABEOKUTA NORTH","ELEGA","019","OPEN SPACE NEAR KENNY OGUN LAB JUNCTION","NEW PU"
"OGUN","ABEOKUTA NORTH","ELEGA","020","OPEN SPACE AT SIKEMI OLUWA JUNCTION, IMALA ELEGA","NEW PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","001","ANLG SCHOOL ILUGUN ASALU  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","002","ANLG SCHOOL ILUGUN ASALU  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","003","ANLG SCHOOL ILUGUN ASALU  III","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","004","NEAR GBEMISOLA'S HOUSE   I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","005","NEAR GBEMISOLA'S HOUSE   II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","006","ILE EJA  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","007","ILE EJA  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","008","ISOTAKUN MOSQUE, IBEREKODO","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","009","BOOTH OPP. THE ISOLA'S (CLOSE TO EJIALAMALA)","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","010","NEAR CHIEF TAIRU'S HOUSE  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","011","NEAR CHIEF TAIRU'S HOUSE  II","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","012","AYO BUS STOP ALONG OKE-ONA ROAD","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","013","O.U.S. SCHOOL IKIJA  I","EXISTING PU"
"OGUN","ABEOKUTA NORTH","ILUGUN/IBEREKODO","014","O.U.S. SCHOOL IKIJA  II","EXISTING PU"
