"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"ONDO","AKOKO NORTH EAST","EDO","001","ODE ELESHO/ODE OKELOKO, IN FRONT OF CH. ALAKELUS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","002","ODEKE/AISA/ODE ASSI ALU, IN FRONT OF CHIEF ASSIS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","003","ODEKE/AISA/ODE ASSI  ALU  OPEN SPACE NEAR CHIEF ASSIS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","004","ODE KOLOFIN/ODEAGBARI  IN FRONT OF CHIEF OLORUNS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","005","ODE ODALURE/OSORO/ODE IMOKU/ODE OLORI/OKEGBEDE BARRACKS  A.U.D PRIMARY SCHOOL III","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","006","ODE ODALURE/OSORO/ODE IMOKU/ODE OLORI/OKEGBEDE BARRACKS  A.U.D PRY. SCH. 111","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","007","ODEKE AISA/ODE ASSI ALU  OPP. ONIGBEDES HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","008","ODELUKE, IN FRONT OF LATE CHIEF ODELUKES HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","009","IYOFEN/ULAGBO/IPINOLA/OKUN/UGBIGBO, IN FRONT OF CHIEF FELES HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","010","ARAROMI, IN FRONT OF ATUNLUSES HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","011","ODE ODOSE  IN FRONT OF CHIEF ELEDOS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EDO","012","OKEREO/ODOSE/ODE ATETI, IN FRONT OF CH. BADAS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EKAN","001","ODIGBO/OLADIGBO,IN FRONT OF LATE CHIEF OLADIGBOS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EKAN","002","ODELEDE, IN FRONT OF SANUSIS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EKAN","003","ILEPA, IN FRONT OF MANAGERS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EKAN","004","LASEPO/OKELEDE, IN FRONT OF LADARUS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EKAN","005","ODEKE 1 & 11, IN FRONT OF LEMINAMUS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EKAN","006","EKAN ILE 1 & 11, SALEMS PRY. SCH. EKAN","EXISTING PU"
"ONDO","AKOKO NORTH EAST","EKAN","007","BASIC HEALTH CENTRE EKAN ILE","NEW PU"
"ONDO","AKOKO NORTH EAST","IKADO I","001","GARUBA OBAYAJI/GOMINA MARKET, IN FRONT OF GARUBA COMP","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","002","ALAJA AJARA HOUSE, IN FRONT OF OLD NEPA OFFICE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","003","ALAJA AJARA HOUSE, BESIDE OLD NEPA OFFICE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","004","KOLADE BANKOLE COMP/BAMISAYE/INU ODI, GBAGBA OJUDE OKELA","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","005","KOLADE BANKOLE/BAMISAYE/INU-ODI, IN FRONT OF AMODUS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","006","AJIJOLA ALAJI TAOSIRI/GBADA COMP., IN FRONT OF TAOSIRIS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","007","OSABI,  L.A PRY. SCH. IKADO","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","008","IBAKA OWONIKOKO, MOSLEM PRY. SCH. OKELA","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","009","IBAKA OWONIKOKO , MOSLEM PRY. SCH. OKELA","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","010","C.A.C/TAIWO, ST. JOSEPHS C.A.C PRY. SCH. OKELA","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","011","OLUKARES COMP., OPEN SPACE AT OLUKARES MARKET","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","012","INNEDUNNE COMP, BEHIND POST OFFICE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO I","013","OGBOHUNEKUN/OLAITAN COMP, IN FRONT OF OGBOHUNEKUNS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","001","ESHE OTARA 1 & 11, ST. THOMAS PRY SCH. ESHE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","002","OLORUNSOGO/ILUFOWOBI, MOSLEM PRY SCH.ESHE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","003","AGEDE/OLORO, OPEN SPACE IN ODORO","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","004","AGEDE/OLORO, OPEN SPACE IN ODORO","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","005","VICTORY COLLEGE/UGBE RD., JUBILEE MARKET","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","006","COURT AREA, OPPOSITE NATIONAL BANK","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","007","COURT AREA, OPPOSITE NATIONAL BANK","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","008","IYAME 1 & 11, IN FRONT OF ASSIS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","009","IYAME 1 & 11, IN FRONT OF ASSIS HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","010","MOUNT CAMEL/IFELODUN, MOUNT CAMEL SEC. SCH. IKARE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","011","ODOSIDE/ELEMEJE COMP/OROGUN COMP., IN FRONT OF ELEMEJES COMP","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","012","ODOSIDE/ELEMEJECOMP/OROGUN COMP., IN FRONT OF ELEMEJES COMP","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","013","OLONAS COMP/AGBEJAS COMP., IN FRONT OF JEGEDES HOUSE","EXISTING PU"
"ONDO","AKOKO NORTH EAST","IKADO II","014","ESHE BUS-STOP","NEW PU"
"ONDO","AKOKO NORTH EAST","IKADO II","015","NEW ESHE MURI OGUN-MODEDE LANE JUNCTION","NEW PU"
"ONDO","AKOKO NORTH EAST","IKADO II","016","BACK OF CENTRAL HOTEL NEAR MOMUDE JAMIU MOSQ ESHE","NEW PU"
