"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"OSUN","ATAKUMOSA EAST","IWARA","001","TOWN HALL IWARA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IWARA","002","UNITED PRY. SCHOOL, IWARA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IWARA","003","L.A. SCHOOL, IWIKUN","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IWARA","004","METHODIST PRY. SCHOOL, AYETORO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IWARA","005","L.A. PRY. SCHOOL, AJEBANDELE ASUKU","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IWARA","006","OPEN SPACE IYINTA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IWARA","007","OPEN SPACE ODO-IWARA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IWARA","008","OPEN SPACE OPPOSITE PRIMARY HEALTH CENTRE, IWARA","NEW PU"
"OSUN","ATAKUMOSA EAST","IWARA","009","OPEN SPACE INFRONT OF OSUN STATE GOVT. REVENUE OFFICE","NEW PU"
"OSUN","ATAKUMOSA EAST","IGANGAN","001","N.U.D PRY. SCHOL, IGANGAN","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IGANGAN","002","ST. BARTH SCHOOL, IGANGAN","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IGANGAN","003","APOSTOLIC PRY. SCHOOL, OKO-AGO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IGANGAN","004","ST. LUKE'S SCHOOL, OWODE","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IGANGAN","005","OPEN SPACE AJUMOBI","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IGANGAN","006","OPEN SPACE SAJUKU","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IGANGAN","007","EYINGUN JUNCTION OWODE IGANGAN (OPEN SPACE)","NEW PU"
"OSUN","ATAKUMOSA EAST","IPOLE","001","TOWN HALL, IPOLE","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPOLE","002","TOWN HALL ODO IJESA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPOLE","003","ST. ANDREW ISE-IJESA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPOLE","004","L.A. SCHOOL, IMOGBARA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPOLE","005","OPEN SPACE IROGBO/IJEMBA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPOLE","006","ST. JOHN PRY. SCHOOL, IDADO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPOLE","007","OPEN SPACE OPPOSITE TRANSFORMER ODO-IJESHA","NEW PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","001","TOWN HALL IPERINDO I","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","002","TOWN HALL IPERINDO II","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","003","TEMIDIRE GRAMMAR SCHOOL, IPERINDO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","004","MATT. CENT AGO ISEGUN","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","005","COMM. PRY. SCHOOL, OKE EGUN","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","006","COMM. PRY. SCHOOL, KAJOLA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","007","CENT. PRY. SCHOOL, AASA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","008","OPEN SPACE AYENI/TEMIDIRE","EXISTING PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","009","SAINT MARK'S 'B' ANG PRY SCHOOL, IPERINDO","NEW PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","010","OPEN SPACE INFRONT OF L.G. SECRETARIAT, IPERINDO","NEW PU"
"OSUN","ATAKUMOSA EAST","IPERINDO","011","OPEN SPACE INFRONT OF COMPREHENSIVE HEALTH CENTRE IPERINDO","NEW PU"
"OSUN","ATAKUMOSA EAST","ETI-ONI","001","ETI ONI OPEN SPACE","EXISTING PU"
"OSUN","ATAKUMOSA EAST","ETI-ONI","002","L.A. PRY. SCHOOL, ALADODO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","ETI-ONI","003","ANG. PRY. SCHOOL, ALARERE","EXISTING PU"
"OSUN","ATAKUMOSA EAST","ETI-ONI","004","COURT HALL ITAPA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","ETI-ONI","005","MATERNITY CENTRE, ILORO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","ETI-ONI","006","OPEN SPACE TEMIDIRE I","EXISTING PU"
"OSUN","ATAKUMOSA EAST","ETI-ONI","007","OPEN SPACE, TEMIDIRE II","EXISTING PU"
"OSUN","ATAKUMOSA EAST","AYEGUNLE","001","ST. LUKE'S ODOGBO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","AYEGUNLE","002","L.A. PRY. SCHOOL, AJIDO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","AYEGUNLE","003","COMM. PRY. SCHOOL, FARO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","AYEGUNLE","004","C.A.C. PRY. SCHOOL AKANNI","EXISTING PU"
"OSUN","ATAKUMOSA EAST","AYEGUNLE","005","OPEN SPACE ALADURA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","AYEGUNLE","006","ITAMERIN","EXISTING PU"
"OSUN","ATAKUMOSA EAST","AYEGUNLE","007","TOWN HALL IPAULA","NEW PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  1","001","L.A. PRY. SCHOOL ONIGBOGI","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  1","002","OPEN SPACE ONIGBOGI","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  1","003","SOKOTO I","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  1","004","SOKOTO II","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  1","005","SOKOTO S.B OJO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  1","006","OGUNDELE","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  1","007","OWADA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  II","001","NUMBER","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  II","002","GRAMMAR SCHOOL ALAKA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  II","003","L.A. SCHOOL LABOSIPO","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  II","004","TIMOLAJA AROWOJOBE","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  II","005","L.A. SCHOOL AREWA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FOREST RESERVE  II","006","ALONGE/FAJUKE","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FAFORIJI","001","ST. FELIX PRY. SCHOOL FAFORIJI I","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FAFORIJI","002","ST. FELIX PRY. SCHOOL FAFORIJI II","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FAFORIJI","003","TOWN HALL FAFORIJI","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FAFORIJI","004","AGBON JEGEDE","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FAFORIJI","005","SURAJU PRY. SCHOOL, ERINSEBIJA","EXISTING PU"
"OSUN","ATAKUMOSA EAST","FAFORIJI","006","COMM. PRY. SCHOOL OMI-ODO","EXISTING PU"
