"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","001","KATAKO","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","002","ST. MARKS PRIM. SCH. I","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","003","GANGARE","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","004","GANGARE TASHA 1","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","005","KAMPANI 1","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","006","KAMPANI  11","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","007","TAKWOK/KWOK","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","008","ANGWAN SARKI","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","009","SABON LAYI 1","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","010","SABON LAYI  11","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","011","KAFI ABU","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","012","KASHANGWOL","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","013","ST. MARKS PRIM. SCH. 11","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","014","GANGARE TASHA 11","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","015","KAMPANI 111","EXISTING PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","016","PHC RAKOK","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","017","LEA RAZAT","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","018","LEA KWOROS","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","019","GURALOH KWOROS","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","020","NEW KWOROS","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","021","GURA KWOROS","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","022","ABATOIR KAMPANI","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","023","MAKARAHUTA","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","024","TYA KAMPANI","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","025","KATAKO II","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","026","KATAKO III","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","027","KASHANGOL II","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","028","SHAFOUM","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","029","KWOK JUNCTION","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","030","RANTYA","NEW PU"
"PLATEAU","BARIKIN LADI","BARAKIN LADI","031","RANTYA II","NEW PU"
