"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"RIVERS","ABUA-ODUAL","ABUA I","001","OGBEMA I, TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","002","OGBEMA II, C.P.S HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","003","OGBEMA III, C.P.S HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","004","OGBEMA IV, TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","005","IGUTA ADAUYO TOWN HALL I","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","006","IGUTA ADAUYO TOWN HALL II","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","007","OKUNNY-ADIBUO, TOWN HALL I","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","008","OKUNNY-ADIBUO, TOWN HALL II","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","009","OKUNNY-ADIBUO, TOWN HALL III","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","010","STATE SCHOOL HALL, OTO-OTOH","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","011","EPHELEPHEEL TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","012","OMA-OBUGHAM TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","013","KALIBIAMA, TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","014","EMOOM-EMA TOWN HALL I","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","015","EMOOM-EMA TOWN HALL II","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","016","SCHOOL HALL,OOKE","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","017","OKPIKIRI TOWN HALL I","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","018","OKIPIKIRI TOWN HALL II","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","019","ISAMA TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","020","IGUTA TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","021","EMILAGHAN I TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","022","EMILAGHAN II TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","023","EMILAGHAN III TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","024","EMILAGHAN IV TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","025","OMELEMA I TOWN SQUARE","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","026","OMELEMA II TOWN SQUARE","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","027","OMELEMA III SCHOOL HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","028","OMELEMA IV SCHOOL HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","029","EMILAGHAN V EKOOL OMABI","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA I","030","OGBEMA TOWN HALL II","NEW PU"
"RIVERS","ABUA-ODUAL","ABUA I","031","OMA-OBUGHAM TOWN HALL II","NEW PU"
"RIVERS","ABUA-ODUAL","ABUA I","032","NEW KALIBIAMA TOWN HALL","NEW PU"
"RIVERS","ABUA-ODUAL","ABUA I","033","EMOOM-EMA TOWN HALL III","NEW PU"
"RIVERS","ABUA-ODUAL","ABUA I","034","COMMUNITY PRIMARY SCHOOL OKPIKIRI","NEW PU"
"RIVERS","ABUA-ODUAL","ABUA I","035","IGUTA NEW TOWN HALL","NEW PU"
"RIVERS","ABUA-ODUAL","ABUA I","036","OMELEMA COMMUNITY PRIMARY SCHOOL","NEW PU"
"RIVERS","ABUA-ODUAL","ABUA I","037","EMILAGHAN COUNTY STATE SCHOOL","NEW PU"
"RIVERS","ABUA-ODUAL","ABUA II","001","EFIBIRI TOWN HALL I","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA II","002","EFIBIRI TOWN HALL II","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA II","003","OKANA TOWN HALL, OMIMEGBO I","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA II","004","OKANA TOWN HALL, OMINIGBO II","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA II","005","OKANA TOWN HALL I","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA II","006","OKANA TOWN HALL II","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA II","007","OGHORA TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA II","008","OTO-OBINOMA, PLAY GROUND","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA II","009","ARUKWO I TOWN HALL","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA II","010","ARUKWO II, DISPENSARY HALL ARUKWO","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA III","001","C.P.S. HALL 1 ODAGA","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA III","002","TOWN HALL ODAGA","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA III","003","C.P.S. HALL 2 ODAGA","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA III","004","TOWN HALL AKA-OMOKWA","EXISTING PU"
"RIVERS","ABUA-ODUAL","ABUA III","005","EMOMEMA TOWN HALL","EXISTING PU"
