"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"SOKOTO","BINJI","INNAME","001","INNAME MASUKAYI","EXISTING PU"
"SOKOTO","BINJI","INNAME","002","GURUZA /SAMAMA","EXISTING PU"
"SOKOTO","BINJI","INNAME","003","KUSA GA G/MODE (IBINJ)","EXISTING PU"
"SOKOTO","BINJI","INNAME","004","FARUWA  JAMALI","EXISTING PU"
"SOKOTO","BINJI","INNAME","005","GIDAN BAWA (TUDUN KOSE)","EXISTING PU"
"SOKOTO","BINJI","INNAME","006","GIDAN GINJO","EXISTING PU"
"SOKOTO","BINJI","INNAME","007","INNAME PRIMARY SCHOOL","NEW PU"
"SOKOTO","BINJI","SAMAMA","001","SAMAMA MARINA","EXISTING PU"
"SOKOTO","BINJI","SAMAMA","002","SAMAMA UNGULU","EXISTING PU"
"SOKOTO","BINJI","SAMAMA","003","GIDAN MAGAJI","EXISTING PU"
"SOKOTO","BINJI","SAMAMA","004","GIDAN ALMU","EXISTING PU"
"SOKOTO","BINJI","SAMAMA","005","SAMAMA MARINA PRI SCHOOL","NEW PU"
"SOKOTO","BINJI","BINJI","001","SHIYYAR SS / FAWA","EXISTING PU"
"SOKOTO","BINJI","BINJI","002","BAJAGAWA","EXISTING PU"
"SOKOTO","BINJI","BINJI","003","SHIYAR DARAI, PRY SCH SHIYAR DARAI","EXISTING PU"
"SOKOTO","BINJI","BINJI","004","SHIYAR DARAI, GOVT TECH COLLEGE , BINJI","EXISTING PU"
"SOKOTO","BINJI","BINJI","005","SHIYAR U. DAWAKI","EXISTING PU"
"SOKOTO","BINJI","BINJI","006","FILIN BANDE","EXISTING PU"
"SOKOTO","BINJI","BINJI","007","SHIYAR SARKIN ASKI,","EXISTING PU"
"SOKOTO","BINJI","BINJI","008","SHIYAR SARKI FAWA","EXISTING PU"
"SOKOTO","BINJI","BINJI","009","SHIYAR S/FAWA, DAN FILI","EXISTING PU"
"SOKOTO","BINJI","BINJI","010","ASSIBITIN YAR GWADANBA","NEW PU"
"SOKOTO","BINJI","BINJI","011","BINJI ASSEMBLY","NEW PU"
"SOKOTO","BINJI","BINJI","012","NIZAMIYYA PRI SCHOOL","NEW PU"
"SOKOTO","BINJI","JAMMALI","001","JAMMALI G/MAGAJI","EXISTING PU"
"SOKOTO","BINJI","JAMMALI","002","FILIN KASUWA","EXISTING PU"
"SOKOTO","BINJI","JAMMALI","003","DADDALE","EXISTING PU"
"SOKOTO","BINJI","JAMMALI","004","MASARAR FULANI","EXISTING PU"
"SOKOTO","BINJI","JAMMALI","005","DALIJAN HAUSAWA","EXISTING PU"
"SOKOTO","BINJI","JAMMALI","006","GIDAN MAGAJI TOBI","EXISTING PU"
"SOKOTO","BINJI","JAMMALI","007","JAMALI TOBI","EXISTING PU"
"SOKOTO","BINJI","JAMMALI","008","GIDAN KIRYA","EXISTING PU"
"SOKOTO","BINJI","T/KOSE","001","TUNDAN KOSE","EXISTING PU"
"SOKOTO","BINJI","T/KOSE","002","AJOGAL, MODEL PRY SCH AJOGAL","EXISTING PU"
"SOKOTO","BINJI","T/KOSE","003","TAUDI ZAIDI","EXISTING PU"
"SOKOTO","BINJI","T/KOSE","004","GIDAN MAIDEBE, PRY SCH GIDAN MAIDEBE","EXISTING PU"
"SOKOTO","BINJI","T/KOSE","005","KABAWA DAN HILI","EXISTING PU"
"SOKOTO","BINJI","T/KOSE","006","TAUDI DUTSE PRI SCHOOL","NEW PU"
