"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"TARABA","ARDO - KOLA","ALIM GORA","001","ALIM GORA I,ALIM GORA PRIMARY SCHOOL","EXISTING PU"
"TARABA","ARDO - KOLA","ALIM GORA","002","ALIM GORA II, COMPANY GATE","EXISTING PU"
"TARABA","ARDO - KOLA","ALIM GORA","003","ALIM GORA III, MARKET SQUARE","EXISTING PU"
"TARABA","ARDO - KOLA","ALIM GORA","004","WAKILI GAMOWAI, WAKILI PALACE","EXISTING PU"
"TARABA","ARDO - KOLA","ALIM GORA","005","ALIM GORA PRIMARY HEALTH CARE CENTR.","NEW PU"
"TARABA","ARDO - KOLA","ALIM GORA","006","WAKILI GAMOWAI MARKET SQUARE","NEW PU"
"TARABA","ARDO - KOLA","ALIM GORA","007","COMPANY GATE PRIMARY SCH","NEW PU"
"TARABA","ARDO - KOLA","ARDO KOLA","001","AUDU GIWA, NEAR MARKET SQUARE","EXISTING PU"
"TARABA","ARDO - KOLA","ARDO KOLA","002","GARIN BAKKA, NEAR MAIANGUWA PALACE","EXISTING PU"
"TARABA","ARDO - KOLA","ARDO KOLA","003","JAURO BUBA, NEAR MARKET SQUARE","EXISTING PU"
"TARABA","ARDO - KOLA","ARDO KOLA","004","WAKILI KACHALA, NEAR MAIANGUWA PALACE","EXISTING PU"
"TARABA","ARDO - KOLA","ARDO KOLA","005","JAURO JESSING, NEAR MAIANGUWA PALACE","EXISTING PU"
"TARABA","ARDO - KOLA","ARDO KOLA","006","JAURO MASHI  I, NEAR MAIANGUWA PALACE","EXISTING PU"
"TARABA","ARDO - KOLA","ARDO KOLA","007","JAURO MASHI II, NEAR MAIANGUWA PALACE","EXISTING PU"
"TARABA","ARDO - KOLA","ARDO KOLA","008","WAKILI YOPPO, WAKILI PRIMARY SCHOOL","EXISTING PU"
"TARABA","ARDO - KOLA","ARDO KOLA","009","KWANDOPRIMARY SCHOOL","NEW PU"
"TARABA","ARDO - KOLA","ARDO KOLA","010","WAKILI YOPPO PRIMARYHEALTH CARE","NEW PU"
"TARABA","ARDO - KOLA","ARDO KOLA","011","GDJSS ARDO KOLA","NEW PU"
"TARABA","ARDO - KOLA","ARDO KOLA","012","JAURO MASHI I MARKET SQUARE","NEW PU"
