"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"YOBE","BADE","DAGONA","001","DAGONA PRI SHC","EXISTING PU"
"YOBE","BADE","DAGONA","002","DAGONA VIEWING CENTRE C.","EXISTING PU"
"YOBE","BADE","DAGONA","003","DALA PRIMARY SCHOOL","EXISTING PU"
"YOBE","BADE","DAGONA","004","MURZA BULAMA GATE","EXISTING PU"
"YOBE","BADE","DAGONA","005","GARIN MANDA,PRI.SCH MISSILLI","EXISTING PU"
"YOBE","BADE","DAGONA","006","MAINIYA BULAMA GATE","EXISTING PU"
"YOBE","BADE","DAGONA","007","BIZI PRI SCHOOL","EXISTING PU"
"YOBE","BADE","DAGONA","008","GARIN MANDA","EXISTING PU"
"YOBE","BADE","DAGONA","009","PRIMARY SCHOOL","NEW PU"
"YOBE","BADE","DAGONA","010","PRIMARY SCHOOL LIBRARY","NEW PU"
"YOBE","BADE","DAGONA","011","DAGONA VIEWING CENTER","NEW PU"
"YOBE","BADE","DAGONA","012","DAGONA VIEWING CENTER","NEW PU"
"YOBE","BADE","DAGONA","013","DALAH PRIMARY SCHOOL","NEW PU"
"YOBE","BADE","DAGONA","014","MAINIYA BOROHOLE","NEW PU"
"YOBE","BADE","DAGONA","015","BIZI PRIMARY A","NEW PU"
"YOBE","BADE","DAGONA","016","BIZI PRIMARY LIBRARY","NEW PU"
"YOBE","BADE","GWIO-KURA","001","GWIO - KURA PRI SCHOOL","EXISTING PU"
"YOBE","BADE","GWIO-KURA","002","GWIO BULAMA'S GATE","EXISTING PU"
"YOBE","BADE","GWIO-KURA","003","GWIO DINA ,PRI. SCH.","EXISTING PU"
"YOBE","BADE","GWIO-KURA","004","NGELBOWA PRI.SCHOOL","EXISTING PU"
"YOBE","BADE","GWIO-KURA","005","NGELJABE ,PRI. SCH I","EXISTING PU"
"YOBE","BADE","GWIO-KURA","006","CHIRAWA BULAMA GATE","EXISTING PU"
"YOBE","BADE","GWIO-KURA","007","MAINARI PRI.SCHOOL","EXISTING PU"
"YOBE","BADE","GWIO-KURA","008","GWIO PRIMARY SCHOOL  A","NEW PU"
"YOBE","BADE","GWIO-KURA","009","GWIO PRIMARY SCHOOL B","NEW PU"
"YOBE","BADE","GWIO-KURA","010","BULAMA'S GATE A","NEW PU"
"YOBE","BADE","GWIO-KURA","011","GWIO DINA PRIMARY SCHOOL A","NEW PU"
"YOBE","BADE","GWIO-KURA","012","NGELBOWA PRIMARY SCHOOL  A","NEW PU"
"YOBE","BADE","GWIO-KURA","013","NGELJABE PRIMARY SCHOOL","NEW PU"
"YOBE","BADE","GWIO-KURA","014","MAINARI PRIMARY SCHOOL","NEW PU"
"YOBE","BADE","KATUZU","001","KATUZU, PRI. SCH.","EXISTING PU"
"YOBE","BADE","KATUZU","002","KATUZU ,VIEW CENTRE","EXISTING PU"
"YOBE","BADE","KATUZU","003","UNGUWAR M.SALE , K.M.SALE","EXISTING PU"
"YOBE","BADE","KATUZU","004","UNGUWAR M.SALE , K.M.SALE II","EXISTING PU"
"YOBE","BADE","KATUZU","005","STATE AGRIC. , STATE AGRIC. OFFICE I","EXISTING PU"
"YOBE","BADE","KATUZU","006","STATE AGRIC. , STATE AGRIC. OFFICE II","EXISTING PU"
"YOBE","BADE","KATUZU","007","KATUZU PRIMARY A","NEW PU"
"YOBE","BADE","KATUZU","008","KATUZU PRIMARY B","NEW PU"
"YOBE","BADE","KATUZU","009","G.D.J.S.S KATUZU I","NEW PU"
"YOBE","BADE","KATUZU","010","G.D.J.S.S KATUZU II","NEW PU"
"YOBE","BADE","KATUZU","011","KATUZU PHCC","NEW PU"
"YOBE","BADE","KATUZU","012","UNGUWAR MAL. SALEH I","NEW PU"
"YOBE","BADE","KATUZU","013","UNGUWAR MAL. SALEH II","NEW PU"
"YOBE","BADE","KATUZU","014","AGRIC ENG SITE","NEW PU"
"YOBE","BADE","KATUZU","015","AGRIC STORE OFFICE","NEW PU"
"YOBE","BADE","KATUZU","016","AGRIC OFFICE II","NEW PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","001","COLLEGE OF EDUCATION","EXISTING PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","002","RAMAT PRI.SCHOOL","EXISTING PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","003","GONI AJI","EXISTING PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","004","LAWAN AUDU","EXISTING PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","005","ASIBITIN AGANA I","EXISTING PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","006","ASIBITIN AGANA II","EXISTING PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","007","FORMER NEPA","EXISTING PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","008","GARIN LAMIDO","EXISTING PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","009","HOSPITAL GATE","EXISTING PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","010","BENIN BAYERO","EXISTING PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","011","COLLEGE OF EDUCATION","NEW PU"
"YOBE","BADE","LAWAN AUDU/LAWAN AL - WALI","012","COLLEGE OF EDUCATION","NEW PU"
