"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"ZAMFARA","ANKA","BAGEGA","001","BAGEGA I/KANWURI","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","002","BAGEGA II/MAKARANTA","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","003","TUBUKI/GARKA","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","004","MALLAMAWA/PRI. SCH.","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","005","KAWAYE I /MAKARANTA","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","006","KAWAYE  II/KANWURI","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","007","DAWON -JIYA/KANWURI","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","008","DUZA/PRI. SCH","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","009","DANGAZAU/PRI. SCH","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","010","DUTSI/GARKA","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","011","ZAMFARAWA/PRI. SCHOOL","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","012","KASUMKA/PRI. SCHOOL","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","013","MAKAKARI/PRI. SCHOOL","EXISTING PU"
"ZAMFARA","ANKA","BAGEGA","014","GARKAR AJIYA BAKIN KASUWA","NEW PU"
"ZAMFARA","ANKA","BAGEGA","015","BAGEGA ASIBITI","NEW PU"
"ZAMFARA","ANKA","BAGEGA","016","TUBUKI MAKARANTA","NEW PU"
"ZAMFARA","ANKA","BAGEGA","017","KAWAYE ASIBITI","NEW PU"
"ZAMFARA","ANKA","BAGEGA","018","SHIYAR LIMAN","NEW PU"
"ZAMFARA","ANKA","BAGEGA","019","TUNGAR DAJI P S","NEW PU"
"ZAMFARA","ANKA","BAGEGA","020","TUNTUJA PRI SCH","NEW PU"
"ZAMFARA","ANKA","BAGEGA","021","SUMKE G/HAKIMI","NEW PU"
"ZAMFARA","ANKA","BAGEGA","022","MAKAKARI G/HAKIMI","NEW PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","001","BARAYAR-ZAKI/KANWURI","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","002","RAFIN-GERO/KANWURI","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","003","TUNGAR GODAI/GIDAN HAKIMI","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","004","TUNGAR NAMORE/G/HAKIMI","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","005","DUTSIN DAN - AJIYA/G/ HAKIMI","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","006","RAIYA/KANWURI","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","007","JIGAWA/KANWURI","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","008","BARDI/KANWURI","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","009","MALLAMAWA/PRI. SCH.","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","010","LAHO/LAHO","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","011","SALLAH/PRI SCHOOL","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","012","SHIYAR - LIMAN/LIMANCHI","EXISTING PU"
"ZAMFARA","ANKA","BARAYAR-ZAKI","013","SHIYAR S/GARI/SABON GARI","EXISTING PU"
